id,date_mastodon,cve_ids
114428642154535466,2025-04-30T19:48:32.000Z,CVE-2025-30391
114428642095192117,2025-04-30T19:48:30.000Z,CVE-2025-21416
114428642091487469,2025-04-30T19:48:30.000Z,CVE-2025-30389
114427698775173787,2025-04-30T15:48:37.000Z,CVE-2025-46342
114427698680736342,2025-04-30T15:48:36.000Z,CVE-2025-32974
114427698674795533,2025-04-30T15:48:35.000Z,CVE-2025-32973
114427698588551333,2025-04-30T15:48:35.000Z,CVE-2025-27134
114427698561772197,2025-04-30T15:48:34.000Z,CVE-2025-4120
114427698517818463,2025-04-30T15:48:34.000Z,CVE-2025-4083
114427227180933139,2025-04-30T13:48:42.000Z,CVE-2025-4116
114427227130279431,2025-04-30T13:48:41.000Z,CVE-2025-4115
114427227057761608,2025-04-30T13:48:40.000Z,CVE-2025-4114
114427227004756676,2025-04-30T13:48:39.000Z,CVE-2025-24351
114426023371727172,2025-04-30T08:42:33.000Z,CVE-2025-22457
114424395620945334,2025-04-30T01:48:35.000Z,CVE-2025-32444
114423922247682343,2025-04-29T23:48:10.000Z,CVE-2025-29906
114423451074666479,2025-04-29T21:48:23.000Z,CVE-2025-46348
114423451040310937,2025-04-29T21:48:22.000Z,CVE-2025-3501
114423451010091544,2025-04-29T21:48:22.000Z,CVE-2025-4039
114422508618378608,2025-04-29T17:48:41.000Z,CVE-2025-23181
114422508478826367,2025-04-29T17:48:40.000Z,CVE-2025-23180
114422508446798761,2025-04-29T17:48:40.000Z,CVE-2025-2907
114422443685249800,2025-04-29T17:32:11.000Z,CVE-2025-32433
114422273895038731,2025-04-29T16:48:59.000Z,CVE-2025-24252
114422273892154210,2025-04-29T16:49:00.000Z,CVE-2025-2817
114422273777549095,2025-04-29T16:48:59.000Z,CVE-2025-45953
114422273729494161,2025-04-29T16:48:58.000Z,CVE-2025-45949
114422273693918402,2025-04-29T16:48:57.000Z,CVE-2025-45947
114421492711934618,2025-04-29T13:30:21.510Z,CVE-2024-21338
114421492711934618,2025-04-29T13:30:21.510Z,CVE-2024-38178
114421140935633117,2025-04-29T12:00:53.825Z,CVE-2025-43857
114417792212559679,2025-04-28T21:48:46.000Z,CVE-2025-34491
114416374948892439,2025-04-28T15:48:47.000Z,CVE-2015-2079
114416374928740653,2025-04-28T15:48:47.000Z,CVE-2025-46661
114415430508848543,2025-04-28T11:48:35.000Z,CVE-2025-3200
114414957889177614,2025-04-28T09:48:27.000Z,CVE-2025-4007
114413306051610521,2025-04-28T02:48:22.000Z,CVE-2025-3993
114413070319587935,2025-04-28T01:48:25.000Z,CVE-2025-3992
114413070288178885,2025-04-28T01:48:25.000Z,CVE-2025-3991
114413070244027506,2025-04-28T01:48:24.000Z,CVE-2025-26692
114413070205682487,2025-04-28T01:48:23.000Z,CVE-2025-3990
114413070143246170,2025-04-28T01:48:22.000Z,CVE-2025-3989
114412600140296870,2025-04-27T23:48:51.000Z,CVE-2025-3988
114407881059736556,2025-04-27T03:48:43.000Z,CVE-2025-46579
114407836594526227,2025-04-27T03:37:24.000Z,CVE-2024-38063
114407836264517428,2025-04-27T03:37:20.660Z,CVE-2024-38063
114404105069270862,2025-04-26T11:48:23.000Z,CVE-2025-2101
114403633445550327,2025-04-26T09:48:30.000Z,CVE-2025-2851
114403161097920486,2025-04-26T07:48:22.000Z,CVE-2025-3914
114403161060335652,2025-04-26T07:48:22.000Z,CVE-2025-3906
114403161015482686,2025-04-26T07:48:21.000Z,CVE-2025-2105
114403160950160542,2025-04-26T07:48:20.000Z,CVE-2024-13808
114401190775478261,2025-04-25T23:26:50.000Z,CVE-2023-38408
114400803882788596,2025-04-25T21:48:51.000Z,CVE-2025-3935
114400329886787040,2025-04-25T19:48:21.000Z,CVE-2025-25775
114400329835842377,2025-04-25T19:48:21.000Z,CVE-2025-3638
114400329809826197,2025-04-25T19:48:20.000Z,CVE-2025-25777
114400258637127575,2025-04-25T19:30:14.000Z,CVE-2025-3634
114399946291418729,2025-04-25T18:10:49.224Z,CVE-2024-54085
114399946291418729,2025-04-25T18:10:49.224Z,CVE-2024-54085
114399946291418729,2025-04-25T18:10:49.224Z,CVE-2024-54085
114399860353788029,2025-04-25T17:48:51.000Z,CVE-2025-3928
114399621627214985,2025-04-25T16:48:14.000Z,CVE-2025-3642
114399621580701439,2025-04-25T16:48:14.000Z,CVE-2025-3641
114399621558609398,2025-04-25T16:48:13.000Z,CVE-2025-32432
114398915724373666,2025-04-25T13:48:40.000Z,CVE-2025-2470
114398915711628947,2025-04-25T13:48:39.000Z,CVE-2024-11917
114398443214136398,2025-04-25T11:48:33.000Z,CVE-2025-1279
114397971401092793,2025-04-25T09:48:34.000Z,CVE-2025-46616
114397971346392940,2025-04-25T09:48:33.000Z,CVE-2025-2238
114396554388754680,2025-04-25T03:48:12.000Z,CVE-2025-43865
114396083340240258,2025-04-25T01:48:24.000Z,CVE-2025-2185
114396083321573746,2025-04-25T01:48:23.000Z,CVE-2025-46275
114396083296778147,2025-04-25T01:48:22.000Z,CVE-2025-46273
114396083294088348,2025-04-25T01:48:23.000Z,CVE-2025-46274
114396083238434955,2025-04-25T01:48:22.000Z,CVE-2025-46272
114396083236658125,2025-04-25T01:48:21.000Z,CVE-2025-46271
114395140101840085,2025-04-24T21:48:32.000Z,CVE-2025-43859
114394989915112397,2025-04-24T21:10:20.000Z,CVE-2025-21204
114394668346858503,2025-04-24T19:48:33.000Z,CVE-2025-43858
114394668293690672,2025-04-24T19:48:32.000Z,CVE-2025-31324
114394195093240562,2025-04-24T17:48:12.000Z,CVE-2025-46264
114394195070898454,2025-04-24T17:48:11.000Z,CVE-2025-46248
114394195058563806,2025-04-24T17:48:10.000Z,CVE-2025-39377
114394195003357967,2025-04-24T17:48:09.000Z,CVE-2025-2558
114393724168892858,2025-04-24T15:48:26.000Z,CVE-2025-28169
114392780202160454,2025-04-24T11:48:19.000Z,CVE-2025-3607
114392780200453183,2025-04-24T11:48:20.000Z,CVE-2021-47663
114392780180439487,2025-04-24T11:48:20.000Z,CVE-2025-3776
114392780131799669,2025-04-24T11:48:19.000Z,CVE-2025-3604
114392780090197315,2025-04-24T11:48:18.000Z,CVE-2025-3603
114392779906156592,2025-04-24T11:48:18.000Z,CVE-2025-3101
114392779857257551,2025-04-24T11:48:17.000Z,CVE-2025-3065
114392779824037153,2025-04-24T11:48:16.000Z,CVE-2025-3058
114392307978865333,2025-04-24T09:48:17.000Z,CVE-2025-3761
114389006022977898,2025-04-23T19:48:33.000Z,CVE-2025-2767
114389005987718617,2025-04-23T19:48:32.000Z,CVE-2025-2764
114388768310851753,2025-04-23T18:48:06.000Z,CVE-2025-1050
114388768283671328,2025-04-23T18:48:05.000Z,CVE-2025-1049
114388768199332073,2025-04-23T18:48:04.000Z,CVE-2025-1048
114388535242567090,2025-04-23T17:48:50.000Z,CVE-2025-45429
114388535216727378,2025-04-23T17:48:49.000Z,CVE-2025-45428
114388535169337511,2025-04-23T17:48:48.000Z,CVE-2025-45427
114388535121468603,2025-04-23T17:48:47.000Z,CVE-2025-28036
114388535079940510,2025-04-23T17:48:47.000Z,CVE-2025-28035
114388535049370073,2025-04-23T17:48:46.000Z,CVE-2025-28037
114388534980581405,2025-04-23T17:48:45.000Z,CVE-2025-28034
114388534952694259,2025-04-23T17:48:45.000Z,CVE-2024-40446
114388062617156036,2025-04-23T15:48:32.000Z,CVE-2025-37087
114388062419379246,2025-04-23T15:48:31.000Z,CVE-2025-43951
114388062415764305,2025-04-23T15:48:30.000Z,CVE-2025-43949
114388062311678815,2025-04-23T15:48:28.000Z,CVE-2023-44752
114388062245284552,2025-04-23T15:48:30.000Z,CVE-2025-43946
114388062230949157,2025-04-23T15:48:28.000Z,CVE-2023-43958
114388062227184115,2025-04-23T15:48:29.000Z,CVE-2023-44755
114388061937892900,2025-04-23T15:48:27.000Z,CVE-2025-28030
114388061892849665,2025-04-23T15:48:27.000Z,CVE-2025-28024
114386647848756971,2025-04-23T09:48:48.000Z,CVE-2025-3529
114383815159166731,2025-04-22T21:48:26.000Z,CVE-2025-28039
114383815094046144,2025-04-22T21:48:25.000Z,CVE-2025-28038
114383342950074576,2025-04-22T19:48:21.000Z,CVE-2025-34028
114382874345324199,2025-04-22T17:49:09.000Z,CVE-2025-23176
114382874311912163,2025-04-22T17:49:08.000Z,CVE-2025-1951
114382874116383175,2025-04-22T17:49:07.000Z,CVE-2025-1950
114382874073557216,2025-04-22T17:49:07.000Z,CVE-2025-2594
114382402845921158,2025-04-22T15:49:10.000Z,CVE-2025-27086
114382402751411302,2025-04-22T15:49:09.000Z,CVE-2025-28197
114382402708294676,2025-04-22T15:49:09.000Z,CVE-2025-28242
114382278378539192,2025-04-22T15:17:38.268Z,CVE-2025-24054
114381785338999862,2025-04-22T13:12:14.000Z,CVE-2025-24364
114381785338999862,2025-04-22T13:12:14.000Z,CVE-2025-24365
114381785338999862,2025-04-22T13:12:14.000Z,CVE-2025-24364
114381785338999862,2025-04-22T13:12:14.000Z,CVE-2025-24365
114381456624339810,2025-04-22T11:48:38.000Z,CVE-2025-46241
114380772291988154,2025-04-22T08:54:37.212Z,CVE-2018-1285
114380511440791590,2025-04-22T07:48:15.000Z,CVE-2025-3616
114379567876757237,2025-04-22T03:48:18.000Z,CVE-2025-3854
114379567822480237,2025-04-22T03:48:17.000Z,CVE-2024-58250
114378624710035194,2025-04-21T23:48:27.000Z,CVE-2025-32958
114378624668352311,2025-04-21T23:48:26.000Z,CVE-2025-32956
114377681710052696,2025-04-21T19:48:27.000Z,CVE-2025-43922
114376973696154258,2025-04-21T16:48:34.000Z,CVE-2025-29660
114376973676583012,2025-04-21T16:48:34.000Z,CVE-2025-29659
114376973640077157,2025-04-21T16:48:33.000Z,CVE-2025-29287
114376738288146453,2025-04-21T15:48:42.000Z,CVE-2025-32408
114376738239616350,2025-04-21T15:48:41.000Z,CVE-2025-0467
114376193720811161,2025-04-21T13:30:13.758Z,CVE-2019-0708
114374378476240286,2025-04-21T05:48:34.000Z,CVE-2025-29058
114374378460111640,2025-04-21T05:48:34.000Z,CVE-2024-53591
114373905780462031,2025-04-21T03:48:22.000Z,CVE-2025-43971
114370994242831347,2025-04-20T15:27:54.000Z,CVE-2025-31201
114370993966371747,2025-04-20T15:27:51.807Z,CVE-2025-31201
114367299844645181,2025-04-19T23:48:23.000Z,CVE-2025-3820
114366828250387141,2025-04-19T21:48:24.000Z,CVE-2025-43917
114365884143531491,2025-04-19T17:48:21.000Z,CVE-2025-3803
114365884089142917,2025-04-19T17:48:20.000Z,CVE-2025-3802
114363996307715163,2025-04-19T09:48:15.000Z,CVE-2025-3404
114363996275686851,2025-04-19T09:48:15.000Z,CVE-2021-4455
114363053557999132,2025-04-19T05:48:30.000Z,CVE-2025-1093
114363053518723860,2025-04-19T05:48:29.000Z,CVE-2025-3278
114361636576493954,2025-04-18T23:48:08.000Z,CVE-2025-32953
114360221281769456,2025-04-18T17:48:12.000Z,CVE-2025-3786
114360221209455886,2025-04-18T17:48:12.000Z,CVE-2025-3785
114360221176771454,2025-04-18T17:48:11.000Z,CVE-2025-1863
114360221134896833,2025-04-18T17:48:10.000Z,CVE-2025-29662
114357762807800877,2025-04-18T07:23:00.341Z,CVE-2025-24054
114357628697925299,2025-04-18T06:48:53.000Z,CVE-2025-39471
114357628681877859,2025-04-18T06:48:52.000Z,CVE-2025-39470
114357156056542048,2025-04-18T04:48:41.000Z,CVE-2025-42599
114356683000422592,2025-04-18T02:48:23.000Z,CVE-2025-3520
114355267465324035,2025-04-17T20:48:23.000Z,CVE-2025-28009
114355267430993732,2025-04-17T20:48:23.000Z,CVE-2024-55211
114354325923385539,2025-04-17T16:48:54.000Z,CVE-2025-43012
114354325908002612,2025-04-17T16:48:55.000Z,CVE-2025-43015
114354325903048907,2025-04-17T16:48:54.000Z,CVE-2025-39596
114354325773667104,2025-04-17T16:48:53.000Z,CVE-2025-39595
114354325732979994,2025-04-17T16:48:52.000Z,CVE-2025-39587
114354325712589701,2025-04-17T16:48:53.000Z,CVE-2025-39588
114354325686257924,2025-04-17T16:48:52.000Z,CVE-2025-39586
114354325559236882,2025-04-17T16:48:51.000Z,CVE-2025-39569
114354325554917976,2025-04-17T16:48:51.000Z,CVE-2025-39551
114354325520771936,2025-04-17T16:48:50.000Z,CVE-2025-39550
114354325489942663,2025-04-17T16:48:49.000Z,CVE-2025-39542
114354325468467957,2025-04-17T16:48:49.000Z,CVE-2025-39533
114354325452111035,2025-04-17T16:48:48.000Z,CVE-2025-39527
114354325436248726,2025-04-17T16:48:48.000Z,CVE-2025-39526
114354325297849812,2025-04-17T16:48:47.000Z,CVE-2025-39436
114354325258404600,2025-04-17T16:48:47.000Z,CVE-2025-32686
114354325222576474,2025-04-17T16:48:46.000Z,CVE-2025-32682
114354325182108226,2025-04-17T16:48:45.000Z,CVE-2025-32665
114354325143926016,2025-04-17T16:48:45.000Z,CVE-2025-32662
114354325111039257,2025-04-17T16:48:44.000Z,CVE-2025-32660
114354325088175164,2025-04-17T16:48:44.000Z,CVE-2025-32658
114354325049104611,2025-04-17T16:48:43.000Z,CVE-2025-32652
114354325017743197,2025-04-17T16:48:43.000Z,CVE-2025-32648
114354324977603222,2025-04-17T16:48:42.000Z,CVE-2025-32647
114354324945342023,2025-04-17T16:48:42.000Z,CVE-2025-32636
114353854727107606,2025-04-17T14:49:07.000Z,CVE-2025-1290
114353854686422662,2025-04-17T14:49:06.000Z,CVE-2025-2073
114353854644452918,2025-04-17T14:49:06.000Z,CVE-2025-1704
114353854594327705,2025-04-17T14:49:05.000Z,CVE-2025-1568
114353854556169282,2025-04-17T14:49:04.000Z,CVE-2025-3620
114353854518665654,2025-04-17T14:49:04.000Z,CVE-2025-3619
114353854492673851,2025-04-17T14:49:03.000Z,CVE-2025-29709
114353854433364188,2025-04-17T14:49:02.000Z,CVE-2025-29708
114353854389741231,2025-04-17T14:49:02.000Z,CVE-2024-55372
114353854367790539,2025-04-17T14:49:01.000Z,CVE-2024-55371
114353854304288249,2025-04-17T14:49:00.000Z,CVE-2025-29653
