CVE_ID,state,assigner,date_published,date_updated,cvss_score,cvss_version,cwes,exploitDB_type,exploitDB_platform,KEV_product,KEV_knownRansomwareCampaignUse,Vendor,id,date_mastodon
CVE-2013-4786,PUBLISHED,mitre,2013-07-08T22:00:00,2024-08-06T16:52:27.225Z,,,,remote,multiple,,,,113863831652466506,2025-01-21T01:49:49.036Z
CVE-2013-4786,PUBLISHED,mitre,2013-07-08T22:00:00,2024-08-06T16:52:27.225Z,,,,remote,multiple,,,,111370028436179220,2023-11-07T15:42:51.793Z
CVE-2014-0401,PUBLISHED,oracle,2014-01-15T02:50:00,2024-08-06T09:13:10.401Z,,,,,,,,,114262437916171006,2025-04-01T11:20:37.000Z
CVE-2014-0401,PUBLISHED,oracle,2014-01-15T02:50:00,2024-08-06T09:13:10.401Z,,,,,,,,,114262437916171006,2025-04-01T11:20:37.000Z
CVE-2014-0457,PUBLISHED,oracle,2014-04-16T01:00:00,2024-08-06T09:13:10.560Z,10.0,,,,,,,Oracle,111101026962719307,2023-09-21T03:32:05.000Z
CVE-2014-3802,PUBLISHED,mitre,2014-05-20T23:00:00,2024-08-06T10:57:17.127Z,6.8,,,,,,,Microsoft,109506094980594707,2022-12-13T11:20:01.000Z
CVE-2014-8361,PUBLISHED,mitre,2015-05-01T00:00:00.000Z,2025-02-07T21:58:17.986Z,10.0,,CWE-20,remote,linux,SDK,Unknown,Realtek,111103849351351881,2023-09-21T15:30:01.286Z
CVE-2015-2051,PUBLISHED,mitre,2015-02-23T17:00:00,2025-01-06T14:50:03.347129Z,,,CWE-77,remote,hardware,DIR-645 Router,Unknown,D-Link,112372750871544953,2024-05-02T17:48:21.921Z
CVE-2015-2051,PUBLISHED,mitre,2015-02-23T17:00:00,2025-01-06T14:50:03.347129Z,,,CWE-77,remote,hardware,DIR-645 Router,Unknown,D-Link,112371157853445476,2024-05-02T11:03:13.000Z
CVE-2015-2051,PUBLISHED,mitre,2015-02-23T17:00:00,2025-01-06T14:50:03.347129Z,,,CWE-77,remote,hardware,DIR-645 Router,Unknown,D-Link,112372750871544953,2024-05-02T17:48:21.921Z
CVE-2015-2051,PUBLISHED,mitre,2015-02-23T17:00:00,2025-01-06T14:50:03.347129Z,,,CWE-77,remote,hardware,DIR-645 Router,Unknown,D-Link,112371157853445476,2024-05-02T11:03:13.000Z
CVE-2015-2079,PUBLISHED,mitre,2025-04-28T00:00:00.000Z,2025-04-28T15:26:11.894Z,9.9,3.1,CWE-96,,,,,,114416374948892439,2025-04-28T15:48:47.000Z
CVE-2015-2079,PUBLISHED,mitre,2025-04-28T00:00:00.000Z,2025-04-28T15:26:11.894Z,9.9,3.1,CWE-96,,,,,,114416374948892439,2025-04-28T15:48:47.000Z
CVE-2015-2862,PUBLISHED,certcc,2015-07-20T23:00:00,2024-08-06T05:32:19.800Z,,,,webapps,windows,,,,106546882009854815,2021-07-08T16:00:06.000Z
CVE-2016-2183,PUBLISHED,redhat,2016-09-01T00:00:00.000Z,2025-03-31T14:15:56.806Z,,,,,,,,,114116305546639100,2025-03-06T15:57:14.930Z
CVE-2016-2183,PUBLISHED,redhat,2016-09-01T00:00:00.000Z,2025-03-31T14:15:56.806Z,,,,,,,,,114116305546639100,2025-03-06T15:57:14.930Z
CVE-2016-4977,PUBLISHED,dell,2017-05-25T17:00:00,2024-08-06T00:46:39.945Z,,,,,,,,,110191021897700834,2023-04-13T10:25:59.000Z
CVE-2016-5195,PUBLISHED,Chrome,2016-11-10T21:00:00.000Z,2025-01-29T17:18:43.067Z,,,CWE-362,local,linux,Kernel,Unknown,Linux,112670780671893350,2024-06-24T09:01:15.000Z
CVE-2016-5195,PUBLISHED,Chrome,2016-11-10T21:00:00.000Z,2025-01-29T17:18:43.067Z,,,CWE-362,local,linux,Kernel,Unknown,Linux,112670780671893350,2024-06-24T09:01:15.000Z
CVE-2017-0143,PUBLISHED,microsoft,2017-03-17T00:00:00.000Z,2025-02-10T16:03:06.371Z,,,CWE-20,dos,windows,Windows,Known,Microsoft,109659004481021347,2023-01-09T11:26:58.181Z
CVE-2017-0145,PUBLISHED,microsoft,2017-03-17T00:00:00.000Z,2025-02-10T15:40:52.150Z,,,CWE-20,dos,windows,SMBv1,Known,Microsoft,109659004481021347,2023-01-09T11:26:58.181Z
CVE-2017-0146,PUBLISHED,microsoft,2017-03-17T00:00:00.000Z,2025-02-04T14:55:23.506Z,,,CWE-20,dos,windows,Windows,Known,Microsoft,109659004481021347,2023-01-09T11:26:58.181Z
CVE-2017-0147,PUBLISHED,microsoft,2017-03-17T00:00:00.000Z,2025-02-10T15:25:59.520Z,,,CWE-200,dos,windows,SMBv1 server,Known,Microsoft,109659004481021347,2023-01-09T11:26:58.181Z
CVE-2017-0148,PUBLISHED,microsoft,2017-03-17T00:00:00.000Z,2025-02-10T16:36:55.137Z,,,CWE-20,dos,windows,SMBv1 server,Known,Microsoft,109659004481021347,2023-01-09T11:26:58.181Z
CVE-2017-0199,PUBLISHED,microsoft,2017-04-12T14:00:00.000Z,2025-02-10T16:35:31.846Z,,,,dos,windows,Office and WordPad,Known,Microsoft,113808592692120063,2025-01-11T07:41:49.393Z
CVE-2017-0199,PUBLISHED,microsoft,2017-04-12T14:00:00.000Z,2025-02-10T16:35:31.846Z,,,,dos,windows,Office and WordPad,Known,Microsoft,113808592692120063,2025-01-11T07:41:49.393Z
