CVE_ID,vendorProject,product,knownRansomwareCampaignUse,cwes
CVE-2024-29988,Microsoft,SmartScreen Prompt,Unknown,CWE-693
CVE-2024-4040,CrushFTP,CrushFTP,Unknown,CWE-1336
CVE-2024-20359,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Unknown,CWE-94
CVE-2024-20353,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Unknown,CWE-835
CVE-2022-38028,Microsoft,Windows,Unknown,
CVE-2024-3400,Palo Alto Networks,PAN-OS,Known,"CWE-20, CWE-77"
CVE-2024-3273,D-Link,Multiple NAS Devices,Unknown,CWE-77
CVE-2024-3272,D-Link,Multiple NAS Devices,Unknown,CWE-798
CVE-2024-29748,Android,Pixel,Unknown,CWE-280
CVE-2024-29745,Android,Pixel,Unknown,CWE-908
CVE-2023-24955,Microsoft,SharePoint Server,Known,CWE-94
CVE-2019-7256,Nice,Linear eMerge E3-Series,Unknown,CWE-78
CVE-2021-44529,Ivanti,Endpoint Manager Cloud Service Appliance (EPM CSA),Known,CWE-94
CVE-2023-48788,Fortinet,FortiClient EMS,Known,CWE-89
CVE-2024-27198,JetBrains,TeamCity,Known,CWE-288
CVE-2024-23225,Apple,Multiple Products,Unknown,CWE-787
CVE-2024-23296,Apple,Multiple Products,Unknown,CWE-787
CVE-2023-21237,Android,Pixel,Unknown,CWE-200
CVE-2021-36380,Sunhillo,SureLine,Unknown,CWE-78
CVE-2024-21338,Microsoft,Windows,Known,CWE-822
CVE-2023-29360,Microsoft,Streaming Service,Unknown,CWE-822
CVE-2024-1709,ConnectWise,ScreenConnect,Known,CWE-288
CVE-2020-3259,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Known,CWE-200
CVE-2024-21410,Microsoft,Exchange Server,Unknown,CWE-287
CVE-2024-21412,Microsoft,Windows,Unknown,CWE-693
CVE-2024-21351,Microsoft,Windows,Unknown,CWE-94
CVE-2023-43770,Roundcube,Webmail,Unknown,CWE-79
CVE-2024-21762,Fortinet,FortiOS,Known,CWE-787
CVE-2023-4762,Google,Chromium V8,Unknown,CWE-843
CVE-2022-48618,Apple,Multiple Products,Unknown,CWE-367
CVE-2024-21893,Ivanti,"Connect Secure, Policy Secure, and Neurons",Unknown,CWE-918
CVE-2023-22527,Atlassian,Confluence Data Center and Server,Known,CWE-74
CVE-2024-23222,Apple,Multiple Products,Unknown,CWE-843
CVE-2023-34048,VMware,vCenter Server,Unknown,CWE-787
CVE-2023-35082,Ivanti,Endpoint Manager Mobile (EPMM) and MobileIron Core,Known,CWE-287
CVE-2024-0519,Google,Chromium V8,Unknown,CWE-787
CVE-2023-6549,Citrix,NetScaler ADC and NetScaler Gateway,Unknown,CWE-119
CVE-2023-6548,Citrix,NetScaler ADC and NetScaler Gateway,Unknown,CWE-94
CVE-2018-15133,Laravel,Laravel Framework,Unknown,CWE-502
CVE-2023-29357,Microsoft,SharePoint Server,Known,CWE-303
CVE-2023-46805,Ivanti,Connect Secure and Policy Secure,Unknown,CWE-287
CVE-2024-21887,Ivanti,Connect Secure and Policy Secure,Unknown,CWE-77
CVE-2023-23752,Joomla!,Joomla!,Unknown,CWE-284
CVE-2016-20017,D-Link,DSL-2750B Devices,Unknown,CWE-77
CVE-2023-41990,Apple,Multiple Products,Unknown,
CVE-2023-27524,Apache,Superset,Unknown,CWE-1188
CVE-2023-29300,Adobe,ColdFusion,Known,CWE-502
CVE-2023-38203,Adobe,ColdFusion,Known,CWE-502
CVE-2023-7101,Spreadsheet::ParseExcel,Spreadsheet::ParseExcel,Unknown,CWE-95
CVE-2023-7024,Google,Chromium WebRTC,Unknown,CWE-787
CVE-2023-49897,FXC,"AE1021, AE1021PE",Unknown,CWE-78
CVE-2023-47565,QNAP,VioStor NVR,Unknown,CWE-78
CVE-2023-6448,Unitronics,Vision PLC and HMI,Unknown,CWE-1188
CVE-2023-41266,Qlik,Sense,Known,CWE-20
CVE-2023-41265,Qlik,Sense,Known,CWE-444
CVE-2023-33107,Qualcomm,Multiple Chipsets,Unknown,CWE-190
CVE-2023-33106,Qualcomm,Multiple Chipsets,Unknown,CWE-823
CVE-2023-33063,Qualcomm,Multiple Chipsets,Unknown,CWE-416
CVE-2022-22071,Qualcomm,Multiple Chipsets,Unknown,CWE-416
CVE-2023-42917,Apple,Multiple Products,Unknown,CWE-787
CVE-2023-42916,Apple,Multiple Products,Unknown,CWE-125
CVE-2023-6345,Google,Chromium Skia,Unknown,CWE-190
CVE-2023-49103,ownCloud,ownCloud graphapi,Unknown,
CVE-2023-4911,GNU,GNU C Library,Unknown,CWE-122
CVE-2023-36584,Microsoft,Windows,Unknown,
CVE-2023-1671,Sophos,Web Appliance,Unknown,CWE-77
CVE-2020-2551,Oracle,Fusion Middleware,Unknown,
CVE-2023-36033,Microsoft,Windows,Unknown,CWE-822
CVE-2023-36025,Microsoft,Windows,Unknown,
CVE-2023-36036,Microsoft,Windows,Unknown,CWE-122
CVE-2023-47246,SysAid,SysAid Server,Known,CWE-22
CVE-2023-36844,Juniper,Junos OS,Unknown,CWE-473
CVE-2023-36845,Juniper,Junos OS,Unknown,CWE-473
CVE-2023-36846,Juniper,Junos OS,Unknown,CWE-306
CVE-2023-36847,Juniper,Junos OS,Unknown,CWE-306
CVE-2023-36851,Juniper,Junos OS,Unknown,CWE-306
CVE-2023-29552,IETF,Service Location Protocol (SLP),Unknown,
CVE-2023-22518,Atlassian,Confluence Data Center and Server,Known,CWE-863
CVE-2023-46604,Apache,ActiveMQ,Known,CWE-502
CVE-2023-46748,F5,BIG-IP Configuration Utility,Unknown,CWE-89
CVE-2023-46747,F5,BIG-IP Configuration Utility,Known,CWE-288
CVE-2023-5631,Roundcube,Webmail,Unknown,CWE-79
CVE-2023-20273,Cisco,Cisco IOS XE Web UI,Unknown,CWE-78
CVE-2023-4966,Citrix,NetScaler ADC and NetScaler Gateway,Known,CWE-119
CVE-2023-20198,Cisco,IOS XE Web UI,Unknown,CWE-420
CVE-2023-21608,Adobe,Acrobat and Reader,Unknown,CWE-416
CVE-2023-20109,Cisco,IOS and IOS XE,Unknown,CWE-787
CVE-2023-41763,Microsoft,Skype for Business,Unknown,CWE-918
CVE-2023-36563,Microsoft,WordPad,Unknown,CWE-20
CVE-2023-44487,IETF,HTTP/2,Unknown,CWE-400
CVE-2023-22515,Atlassian,Confluence Data Center and Server,Known,
CVE-2023-40044,Progress,WS_FTP Server,Known,CWE-502
CVE-2023-42824,Apple,iOS and iPadOS,Unknown,
CVE-2023-42793,JetBrains,TeamCity,Known,CWE-288
CVE-2023-28229,Microsoft,Windows CNG Key Isolation Service,Unknown,CWE-591
CVE-2023-4211,Arm,Mali GPU Kernel Driver,Unknown,CWE-416
CVE-2023-5217,Google,Chromium libvpx,Unknown,CWE-787
CVE-2018-14667,Red Hat,JBoss RichFaces Framework,Unknown,CWE-94
CVE-2023-41991,Apple,Multiple Products,Unknown,CWE-295
CVE-2023-41992,Apple,Multiple Products,Unknown,CWE-754
CVE-2023-41993,Apple,Multiple Products,Unknown,CWE-754
CVE-2023-41179,Trend Micro,Apex One and Worry-Free Business Security,Unknown,
CVE-2023-28434,MinIO,MinIO,Unknown,CWE-269
CVE-2022-22265,Samsung,Mobile Devices,Unknown,CWE-703
CVE-2014-8361,Realtek,SDK,Unknown,CWE-20
CVE-2017-6884,Zyxel,EMG2926 Routers,Known,CWE-78
CVE-2021-3129,Laravel,Ignition,Known,
CVE-2023-26369,Adobe,Acrobat and Reader,Unknown,CWE-787
CVE-2023-35674,Android,Framework,Unknown,
CVE-2023-20269,Cisco,Adaptive Security Appliance and Firepower Threat Defense,Known,CWE-288
CVE-2023-4863,Google,Chromium WebP,Unknown,CWE-787
CVE-2023-36761,Microsoft,Word,Unknown,CWE-668
CVE-2023-36802,Microsoft,Streaming Service Proxy,Unknown,CWE-416
CVE-2023-41064,Apple,"iOS, iPadOS, and macOS",Unknown,CWE-120
CVE-2023-41061,Apple,"iOS, iPadOS, and watchOS",Unknown,
CVE-2023-33246,Apache,RocketMQ,Unknown,CWE-94
CVE-2023-38831,RARLAB,WinRAR,Known,CWE-351
CVE-2023-32315,Ignite Realtime,Openfire,Unknown,CWE-22
CVE-2023-38035,Ivanti,Sentry,Known,CWE-863
CVE-2023-27532,Veeam,Backup & Replication,Known,CWE-306
CVE-2023-26359,Adobe,ColdFusion,Unknown,CWE-502
CVE-2023-24489,Citrix,Content Collaboration,Unknown,CWE-284
CVE-2023-38180,Microsoft,.NET Core and Visual Studio,Unknown,
CVE-2017-18368,Zyxel,P660HN-T1A Routers,Unknown,CWE-78
CVE-2023-35081,Ivanti,Endpoint Manager Mobile (EPMM),Unknown,CWE-22
CVE-2023-37580,Synacor,Zimbra Collaboration Suite (ZCS),Unknown,CWE-79
CVE-2023-38606,Apple,Multiple Products,Unknown,
CVE-2023-35078,Ivanti,Endpoint Manager Mobile (EPMM),Known,CWE-287
CVE-2023-29298,Adobe,ColdFusion,Unknown,CWE-284
CVE-2023-38205,Adobe,ColdFusion,Unknown,CWE-284
CVE-2023-3519,Citrix,NetScaler ADC and NetScaler Gateway,Known,CWE-94
CVE-2023-36884,Microsoft,Windows,Known,CWE-362
CVE-2022-29303,SolarView,Compact,Unknown,CWE-78
CVE-2023-37450,Apple,Multiple Products,Unknown,
CVE-2023-32046,Microsoft,Windows,Unknown,
CVE-2023-32049,Microsoft,Windows,Unknown,
CVE-2023-35311,Microsoft,Outlook,Unknown,CWE-367
CVE-2023-36874,Microsoft,Windows,Unknown,CWE-59
CVE-2022-31199,Netwrix,Auditor,Known,"CWE-502, CWE-122"
CVE-2021-29256,Arm,Mali Graphics Processing Unit (GPU),Unknown,CWE-416
CVE-2019-17621,D-Link,DIR-859 Router,Unknown,CWE-78
CVE-2019-20500,D-Link,DWL-2600AP Access Point,Unknown,CWE-78
CVE-2021-25487,Samsung,Mobile Devices,Unknown,CWE-125
CVE-2021-25489,Samsung,Mobile Devices,Unknown,CWE-20
CVE-2021-25394,Samsung,Mobile Devices,Unknown,CWE-416
CVE-2021-25395,Samsung,Mobile Devices,Unknown,CWE-362
CVE-2021-25371,Samsung,Mobile Devices,Unknown,CWE-912
CVE-2021-25372,Samsung,Mobile Devices,Unknown,CWE-787
CVE-2023-32434,Apple,Multiple Products,Unknown,CWE-190
CVE-2023-32435,Apple,Multiple Products,Unknown,CWE-787
CVE-2023-32439,Apple,Multiple Products,Unknown,CWE-843
CVE-2023-20867,VMware,Tools,Unknown,CWE-287
CVE-2023-27992,Zyxel,Multiple Network-Attached Storage (NAS) Devices,Unknown,CWE-78
CVE-2023-20887,VMware,Aria Operations for Networks,Unknown,CWE-77
CVE-2020-35730,Roundcube,Roundcube Webmail,Unknown,CWE-79
CVE-2020-12641,Roundcube,Roundcube Webmail,Unknown,CWE-78
CVE-2021-44026,Roundcube,Roundcube Webmail,Unknown,CWE-89
CVE-2016-9079,Mozilla,"Firefox, Firefox ESR, and Thunderbird",Unknown,CWE-416
CVE-2016-0165,Microsoft,Win32k,Unknown,CWE-264
CVE-2023-27997,Fortinet,FortiOS and FortiProxy SSL-VPN,Known,CWE-122
CVE-2023-3079,Google,Chromium V8,Unknown,CWE-843
CVE-2023-33009,Zyxel,Multiple Firewalls,Unknown,CWE-120
CVE-2023-33010,Zyxel,Multiple Firewalls,Unknown,CWE-120
CVE-2023-34362,Progress,MOVEit Transfer,Known,CWE-89
CVE-2023-28771,Zyxel,Multiple Firewalls,Unknown,CWE-78
CVE-2023-2868,Barracuda Networks,Email Security Gateway (ESG) Appliance,Unknown,CWE-20
CVE-2023-32409,Apple,Multiple Products,Unknown,
CVE-2023-28204,Apple,Multiple Products,Unknown,CWE-125
CVE-2023-32373,Apple,Multiple Products,Unknown,CWE-416
CVE-2004-1464,Cisco,IOS,Unknown,
CVE-2016-6415,Cisco,"IOS, IOS XR, and IOS XE",Unknown,CWE-200
CVE-2023-21492,Samsung,Mobile Devices,Unknown,CWE-532
CVE-2023-25717,Ruckus Wireless,Multiple Products,Unknown,CWE-94
CVE-2021-3560,Red Hat,Polkit,Unknown,CWE-863
CVE-2014-0196,Linux,Kernel,Unknown,CWE-362
CVE-2010-3904,Linux,Kernel,Unknown,CWE-20
CVE-2015-5317,Jenkins,Jenkins User Interface (UI),Unknown,CWE-200
CVE-2016-3427,Oracle,Java SE and JRockit,Unknown,
CVE-2016-8735,Apache,Tomcat,Unknown,CWE-284
CVE-2023-29336,Microsoft,Win32k,Unknown,CWE-416
CVE-2023-1389,TP-Link,Archer AX21,Unknown,CWE-77
CVE-2021-45046,Apache,Log4j2,Known,CWE-917
CVE-2023-21839,Oracle,WebLogic Server,Unknown,
CVE-2023-28432,MinIO,MinIO,Unknown,CWE-200
CVE-2023-27350,PaperCut,MF/NG,Known,CWE-284
CVE-2023-2136,Google,Chromium Skia,Unknown,CWE-190
CVE-2017-6742,Cisco,IOS and IOS XE Software,Unknown,CWE-119
CVE-2019-8526,Apple,macOS,Unknown,CWE-416
CVE-2023-2033,Google,Chromium V8,Unknown,CWE-843
CVE-2023-20963,Android,Framework,Unknown,CWE-295
CVE-2023-29492,Novi Survey,Novi Survey,Unknown,CWE-94
CVE-2023-28252,Microsoft,Windows,Known,CWE-122
CVE-2023-28205,Apple,Multiple Products,Unknown,CWE-416
CVE-2023-28206,Apple,"iOS, iPadOS, and macOS",Unknown,CWE-787
CVE-2021-27876,Veritas,Backup Exec Agent,Known,CWE-287
CVE-2021-27877,Veritas,Backup Exec Agent,Known,CWE-287
CVE-2021-27878,Veritas,Backup Exec Agent,Known,CWE-287
CVE-2019-1388,Microsoft,Windows,Known,CWE-269
CVE-2023-26083,Arm,Mali Graphics Processing Unit (GPU),Unknown,CWE-401
CVE-2022-27926,Synacor,Zimbra Collaboration Suite (ZCS),Unknown,"CWE-79, CWE-138"
CVE-2013-3163,Microsoft,Internet Explorer,Unknown,CWE-94
CVE-2017-7494,Samba,Samba,Known,CWE-94
CVE-2022-42948,Fortra,Cobalt Strike,Unknown,"CWE-79, CWE-116"
CVE-2022-39197,Fortra,Cobalt Strike,Unknown,"CWE-20, CWE-79"
CVE-2021-30900,Apple,"iOS, iPadOS, and macOS",Unknown,"CWE-20, CWE-787"
CVE-2022-38181,Arm,Mali Graphics Processing Unit (GPU),Unknown,CWE-416
CVE-2023-0266,Linux,Kernel,Unknown,CWE-416
CVE-2022-3038,Google,Chromium Network Service,Unknown,CWE-416
CVE-2022-22706,Arm,Mali Graphics Processing Unit (GPU),Unknown,CWE-119
CVE-2023-26360,Adobe,ColdFusion,Unknown,CWE-284
CVE-2023-23397,Microsoft,Office,Unknown,CWE-294
CVE-2023-24880,Microsoft,Windows,Known,CWE-863
CVE-2022-41328,Fortinet,FortiOS,Unknown,CWE-22
CVE-2021-39144,XStream,XStream,Unknown,"CWE-94, CWE-502"
CVE-2020-5741,Plex,Media Server,Unknown,CWE-502
CVE-2022-28810,Zoho,ManageEngine,Unknown,"CWE-78, CWE-259"
CVE-2022-33891,Apache,Spark,Unknown,CWE-78
CVE-2022-35914,Teclib,GLPI,Unknown,CWE-74
CVE-2022-36537,ZK Framework,AuUploader,Known,CWE-441
CVE-2022-47986,IBM,Aspera Faspex,Known,CWE-502
CVE-2022-41223,Mitel,MiVoice Connect,Known,CWE-94
CVE-2022-40765,Mitel,MiVoice Connect,Known,CWE-77
CVE-2022-46169,Cacti,Cacti,Unknown,CWE-74
CVE-2023-21715,Microsoft,Office,Unknown,CWE-863
CVE-2023-23376,Microsoft,Windows,Known,CWE-122
CVE-2023-23529,Apple,Multiple Products,Unknown,CWE-843
CVE-2023-21823,Microsoft,Windows,Unknown,CWE-190
CVE-2015-2291,Intel,Ethernet Diagnostics Driver for Windows,Known,CWE-20
CVE-2022-24990,TerraMaster,TerraMaster OS,Known,CWE-306
CVE-2023-0669,Fortra,GoAnywhere MFT,Known,CWE-502
CVE-2022-21587,Oracle,E-Business Suite,Known,CWE-306
CVE-2023-22952,SugarCRM,Multiple Products,Unknown,CWE-20
CVE-2017-11357,Telerik,User Interface (UI) for ASP.NET AJAX,Known,CWE-20
CVE-2022-47966,Zoho,ManageEngine,Known,
CVE-2022-44877,CWP,Control Web Panel,Unknown,CWE-78
CVE-2022-41080,Microsoft,Exchange Server,Known,
CVE-2023-21674,Microsoft,Windows,Unknown,CWE-416
CVE-2018-5430,TIBCO,JasperReports,Unknown,CWE-22
CVE-2018-18809,TIBCO,JasperReports,Unknown,CWE-22
CVE-2022-42856,Apple,iOS,Unknown,CWE-843
CVE-2022-42475,Fortinet,FortiOS,Known,CWE-197
CVE-2022-44698,Microsoft,Defender,Known,CWE-755
CVE-2022-27518,Citrix,Application Delivery Controller (ADC) and Gateway,Unknown,CWE-664
CVE-2022-26500,Veeam,Backup & Replication,Known,CWE-22
CVE-2022-26501,Veeam,Backup & Replication,Known,CWE-306
CVE-2022-4262,Google,Chromium V8,Unknown,"CWE-122, CWE-843"
CVE-2021-35587,Oracle,Fusion Middleware,Unknown,"CWE-502, CWE-790"
CVE-2022-4135,Google,Chromium GPU,Unknown,CWE-787
CVE-2022-41049,Microsoft,Windows,Unknown,CWE-274
CVE-2022-41091,Microsoft,Windows,Known,CWE-863
CVE-2022-41073,Microsoft,Windows,Known,CWE-787
CVE-2022-41125,Microsoft,Windows,Unknown,CWE-787
CVE-2022-41128,Microsoft,Windows,Unknown,CWE-787
CVE-2021-25337,Samsung,Mobile Devices,Unknown,CWE-269
CVE-2021-25369,Samsung,Mobile Devices,Unknown,CWE-200
CVE-2021-25370,Samsung,Mobile Devices,Unknown,CWE-416
CVE-2022-3723,Google,Chromium V8,Unknown,"CWE-122, CWE-843"
CVE-2022-42827,Apple,iOS and iPadOS,Unknown,"CWE-20, CWE-787"
CVE-2020-3433,Cisco,AnyConnect Secure,Known,CWE-427
CVE-2020-3153,Cisco,AnyConnect Secure,Known,CWE-427
CVE-2018-19323,GIGABYTE,Multiple Products,Known,
CVE-2018-19322,GIGABYTE,Multiple Products,Known,CWE-749
CVE-2018-19321,GIGABYTE,Multiple Products,Known,
CVE-2018-19320,GIGABYTE,Multiple Products,Known,
CVE-2022-41352,Synacor,Zimbra Collaboration Suite (ZCS),Unknown,CWE-22
CVE-2021-3493,Linux,Kernel,Unknown,CWE-862
CVE-2022-40684,Fortinet,Multiple Products,Known,CWE-288
CVE-2022-41033,Microsoft,Windows COM+ Event System Service,Unknown,CWE-843
CVE-2022-41082,Microsoft,Exchange Server,Known,CWE-502
CVE-2022-41040,Microsoft,Exchange Server,Known,CWE-918
CVE-2022-36804,Atlassian,Bitbucket Server and Data Center,Unknown,"CWE-78, CWE-88, CWE-158"
CVE-2022-3236,Sophos,Firewall,Unknown,CWE-94
CVE-2022-35405,Zoho,ManageEngine,Unknown,CWE-502
CVE-2022-40139,Trend Micro,Apex One and Apex One as a Service,Unknown,"CWE-353, CWE-641"
CVE-2013-6282,Linux,Kernel,Unknown,CWE-20
CVE-2013-2597,Code Aurora,ACDB Audio Driver,Unknown,CWE-119
CVE-2013-2596,Linux,Kernel,Unknown,CWE-189
CVE-2013-2094,Linux,Kernel,Unknown,CWE-189
CVE-2010-2568,Microsoft,Windows,Unknown,CWE-20
CVE-2022-37969,Microsoft,Windows,Unknown,"CWE-20, CWE-787"
CVE-2022-32917,Apple,"iOS, iPadOS, and macOS",Unknown,"CWE-20, CWE-787"
CVE-2022-3075,Google,Chromium Mojo,Unknown,CWE-20
CVE-2022-27593,QNAP,Photo Station,Known,CWE-610
CVE-2022-26258,D-Link,DIR-820L,Unknown,CWE-78
CVE-2020-9934,Apple,"iOS, iPadOS, and macOS",Unknown,
CVE-2018-7445,MikroTik,RouterOS,Unknown,CWE-119
CVE-2018-6530,D-Link,Multiple Routers,Known,CWE-78
CVE-2018-2628,Oracle,WebLogic Server,Unknown,CWE-502
CVE-2018-13374,Fortinet,FortiOS and FortiADC,Known,CWE-732
CVE-2017-5521,NETGEAR,Multiple Devices,Unknown,CWE-200
CVE-2011-4723,D-Link,DIR-300 Router,Unknown,CWE-310
CVE-2011-1823,Android,Android OS,Unknown,CWE-189
CVE-2022-26352,dotCMS,dotCMS,Known,"CWE-22, CWE-138"
CVE-2022-24706,Apache,CouchDB,Unknown,CWE-1188
CVE-2022-24112,Apache,APISIX,Unknown,CWE-290
CVE-2022-22963,VMware Tanzu,Spring Cloud,Unknown,CWE-94
CVE-2022-2294,WebRTC,WebRTC,Known,CWE-122
CVE-2021-39226,Grafana Labs,Grafana,Unknown,CWE-287
CVE-2021-38406,Delta Electronics,DOPSoft 2,Unknown,CWE-787
CVE-2021-31010,Apple,"iOS, macOS, watchOS",Unknown,"CWE-20, CWE-502"
CVE-2020-36193,PEAR,Archive_Tar,Unknown,"CWE-22, CWE-59"
CVE-2020-28949,PEAR,Archive_Tar,Unknown,CWE-74
CVE-2022-0028,Palo Alto Networks,PAN-OS,Unknown,CWE-940
CVE-2022-22536,SAP,Multiple Products,Unknown,CWE-444
CVE-2022-32894,Apple,iOS and macOS,Unknown,"CWE-20, CWE-787"
CVE-2022-32893,Apple,iOS and macOS,Unknown,"CWE-20, CWE-787"
CVE-2022-2856,Google,Chromium Intents,Unknown,CWE-20
CVE-2022-26923,Microsoft,Active Directory,Unknown,CWE-295
CVE-2022-21971,Microsoft,Windows,Unknown,CWE-824
CVE-2017-15944,Palo Alto Networks,PAN-OS,Unknown,
CVE-2022-27925,Synacor,Zimbra Collaboration Suite (ZCS),Known,CWE-22
CVE-2022-37042,Synacor,Zimbra Collaboration Suite (ZCS),Known,CWE-23
CVE-2022-34713,Microsoft,Windows,Unknown,
CVE-2022-30333,RARLAB,UnRAR,Known,"CWE-22, CWE-59"
CVE-2022-27924,Synacor,Zimbra Collaboration Suite (ZCS),Known,CWE-93
CVE-2022-26138,Atlassian,Confluence,Unknown,CWE-798
CVE-2022-22047,Microsoft,Windows,Unknown,CWE-426
CVE-2022-26925,Microsoft,Windows,Unknown,CWE-306
CVE-2022-29499,Mitel,MiVoice Connect,Known,CWE-20
CVE-2021-30533,Google,Chromium PopupBlocker,Unknown,CWE-863
CVE-2021-4034,Red Hat,Polkit,Unknown,CWE-787
CVE-2021-30983,Apple,iOS and iPadOS,Unknown,CWE-119
CVE-2020-3837,Apple,Multiple Products,Unknown,CWE-787
CVE-2020-9907,Apple,Multiple Products,Unknown,CWE-787
CVE-2019-8605,Apple,Multiple Products,Unknown,CWE-416
CVE-2018-4344,Apple,Multiple Products,Unknown,CWE-119
CVE-2022-30190,Microsoft,Windows,Known,CWE-610
CVE-2021-38163,SAP,NetWeaver,Unknown,CWE-23
CVE-2016-2386,SAP,NetWeaver,Unknown,CWE-89
CVE-2016-2388,SAP,NetWeaver,Unknown,CWE-200
CVE-2019-7195,QNAP,Photo Station,Known,CWE-22
CVE-2019-7194,QNAP,Photo Station,Known,CWE-22
CVE-2019-7193,QNAP,QTS,Known,CWE-20
CVE-2019-7192,QNAP,Photo Station,Known,CWE-863
CVE-2019-5825,Google,Chromium V8,Unknown,CWE-787
CVE-2019-15271,Cisco,RV Series Routers,Unknown,CWE-502
CVE-2018-6065,Google,Chromium V8,Unknown,"CWE-190, CWE-787"
CVE-2018-4990,Adobe,Acrobat and Reader,Unknown,CWE-415
CVE-2018-17480,Google,Chromium V8,Unknown,CWE-787
CVE-2018-17463,Google,Chromium V8,Unknown,
CVE-2017-6862,NETGEAR,Multiple Devices,Unknown,CWE-119
CVE-2017-5070,Google,Chromium V8,Unknown,CWE-843
CVE-2017-5030,Google,Chromium V8,Unknown,CWE-125
CVE-2016-5198,Google,Chromium V8,Unknown,"CWE-125, CWE-787"
CVE-2016-1646,Google,Chromium V8,Unknown,CWE-119
CVE-2013-1331,Microsoft,Office,Unknown,CWE-119
CVE-2012-5054,Adobe,Flash Player,Unknown,CWE-189
CVE-2012-4969,Microsoft,Internet Explorer,Unknown,
CVE-2012-1889,Microsoft,XML Core Services,Unknown,CWE-119
CVE-2012-0767,Adobe,Flash Player,Unknown,CWE-79
CVE-2012-0754,Adobe,Flash Player,Unknown,CWE-787
CVE-2012-0151,Microsoft,Windows,Unknown,CWE-20
CVE-2011-2462,Adobe,Acrobat and Reader,Unknown,CWE-787
CVE-2011-0609,Adobe,Flash Player,Unknown,
CVE-2010-2883,Adobe,Acrobat and Reader,Unknown,CWE-119
CVE-2010-2572,Microsoft,PowerPoint,Unknown,CWE-119
CVE-2010-1297,Adobe,Flash Player,Unknown,CWE-787
CVE-2009-4324,Adobe,Acrobat and Reader,Unknown,CWE-399
CVE-2009-3953,Adobe,Acrobat and Reader,Unknown,CWE-119
CVE-2009-1862,Adobe,"Acrobat and Reader, Flash Player",Unknown,CWE-94
CVE-2009-0563,Microsoft,Office,Unknown,CWE-119
CVE-2009-0557,Microsoft,Office,Unknown,CWE-94
CVE-2008-0655,Adobe,Acrobat and Reader,Unknown,
CVE-2007-5659,Adobe,Acrobat and Reader,Unknown,CWE-119
CVE-2006-2492,Microsoft,Word,Unknown,CWE-120
CVE-2022-26134,Atlassian,Confluence Server/Data Center,Known,CWE-917
CVE-2019-3010,Oracle,Solaris,Unknown,
CVE-2016-3393,Microsoft,Windows,Unknown,CWE-284
CVE-2016-7256,Microsoft,Windows,Unknown,CWE-284
CVE-2016-1010,Adobe,Flash Player and AIR,Unknown,CWE-190
CVE-2016-0984,Adobe,Flash Player and AIR,Unknown,CWE-416
CVE-2016-0034,Microsoft,Silverlight,Known,CWE-20
CVE-2015-0310,Adobe,Flash Player,Unknown,CWE-264
CVE-2015-0016,Microsoft,Windows,Unknown,CWE-22
CVE-2015-0071,Microsoft,Internet Explorer,Unknown,CWE-264
CVE-2015-2360,Microsoft,Win32k,Unknown,CWE-119
CVE-2015-2425,Microsoft,Internet Explorer,Unknown,CWE-119
CVE-2015-1769,Microsoft,Windows,Unknown,CWE-264
CVE-2015-4495,Mozilla,Firefox,Unknown,CWE-200
CVE-2015-8651,Adobe,Flash Player,Unknown,CWE-189
CVE-2015-6175,Microsoft,Windows,Unknown,CWE-264
CVE-2015-1671,Microsoft,Windows,Unknown,CWE-19
CVE-2014-4148,Microsoft,Windows,Unknown,CWE-94
CVE-2014-8439,Adobe,Flash Player,Unknown,CWE-119
CVE-2014-4123,Microsoft,Internet Explorer,Unknown,CWE-264
CVE-2014-0546,Adobe,Acrobat and Reader,Unknown,
CVE-2014-2817,Microsoft,Internet Explorer,Unknown,CWE-264
CVE-2014-4077,Microsoft,Input Method Editor (IME) Japanese,Unknown,CWE-264
CVE-2014-3153,Linux,Kernel,Unknown,CWE-269
CVE-2013-7331,Microsoft,Internet Explorer,Unknown,CWE-200
CVE-2013-3993,IBM,InfoSphere BigInsights,Known,CWE-264
CVE-2013-3896,Microsoft,Silverlight,Unknown,CWE-20
CVE-2013-2423,Oracle,Java Runtime Environment (JRE),Unknown,
CVE-2013-0431,Oracle,Java Runtime Environment (JRE),Known,
CVE-2013-0422,Oracle,Java Runtime Environment (JRE),Unknown,CWE-264
CVE-2013-0074,Microsoft,Silverlight,Known,
CVE-2012-1710,Oracle,Fusion Middleware,Known,
CVE-2010-1428,Red Hat,JBoss,Known,CWE-264
CVE-2010-0840,Oracle,Java Runtime Environment (JRE),Unknown,
CVE-2010-0738,Red Hat,JBoss,Known,CWE-264
CVE-2018-8611,Microsoft,Windows,Unknown,CWE-404
CVE-2018-19953,QNAP,Network Attached Storage (NAS),Known,"CWE-79, CWE-80"
CVE-2018-19949,QNAP,Network Attached Storage (NAS),Known,"CWE-20, CWE-77, CWE-78"
CVE-2018-19943,QNAP,Network Attached Storage (NAS),Known,"CWE-79, CWE-80"
CVE-2017-0147,Microsoft,SMBv1 server,Known,CWE-200
CVE-2017-0022,Microsoft,XML Core Services,Unknown,CWE-200
