CVE_ID,vendorProject,product,knownRansomwareCampaignUse,cwes
CVE-2020-5847,Unraid,Unraid,Unknown,
CVE-2019-16759,vBulletin,vBulletin,Unknown,CWE-94
CVE-2020-17496,vBulletin,vBulletin,Unknown,CWE-74
CVE-2019-5544,VMware,VMware ESXi and Horizon DaaS,Known,CWE-787
CVE-2020-3992,VMware,ESXi,Known,CWE-416
CVE-2020-3950,VMware,Multiple Products,Unknown,CWE-269
CVE-2021-22005,VMware,vCenter Server,Known,CWE-23
CVE-2020-3952,VMware,vCenter Server,Unknown,CWE-306
CVE-2021-21972,VMware,vCenter Server,Known,CWE-23
CVE-2021-21985,VMware,vCenter Server,Known,"CWE-20, CWE-470, CWE-918"
CVE-2020-4006,VMware,Multiple Products,Unknown,CWE-78
CVE-2020-25213,WordPress,File Manager Plugin,Unknown,CWE-434
CVE-2020-11738,WordPress,Snap Creek Duplicator Plugin,Unknown,CWE-22
CVE-2019-9978,WordPress,Social Warfare Plugin,Unknown,CWE-79
CVE-2021-27561,Yealink,Device Management,Unknown,CWE-78
CVE-2021-40539,Zoho,ManageEngine,Known,CWE-55
CVE-2020-10189,Zoho,ManageEngine,Unknown,CWE-502
CVE-2019-8394,Zoho,ManageEngine,Unknown,CWE-434
CVE-2020-29583,Zyxel,Multiple Products,Unknown,CWE-522
