2025-06-08 10:51:29,087 - WARNING - Score mismatch detected: original=4.8, validated=1.9
2025-06-08 10:51:29,087 - WARNING - Score mismatch detected: original=4.8, validated=1.9
2025-06-08 10:51:29,091 - WARNING - Score mismatch detected: original=4.8, validated=1.9
2025-06-08 10:51:29,091 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,092 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,093 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,097 - WARNING - Score mismatch detected: original=6.9, validated=5.5
2025-06-08 10:51:29,098 - WARNING - Score mismatch detected: original=6.9, validated=5.5
2025-06-08 10:51:29,100 - WARNING - Score mismatch detected: original=5.1, validated=2.0
2025-06-08 10:51:29,101 - WARNING - Score mismatch detected: original=6.9, validated=5.5
2025-06-08 10:51:29,102 - WARNING - Score mismatch detected: original=6.9, validated=5.5
2025-06-08 10:51:29,108 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,109 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,109 - WARNING - Score mismatch detected: original=5.1, validated=2.0
2025-06-08 10:51:29,133 - WARNING - Score mismatch detected: original=5.1, validated=2.0
2025-06-08 10:51:29,133 - WARNING - Score mismatch detected: original=5.1, validated=2.0
2025-06-08 10:51:29,135 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,138 - WARNING - Score mismatch detected: original=6.9, validated=5.5
2025-06-08 10:51:29,140 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,141 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,141 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,145 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,146 - WARNING - Score mismatch detected: original=5.3, validated=2.1
2025-06-08 10:51:29,152 - WARNING - Score mismatch detected: original=5.1, validated=2.0
2025-06-08 10:51:29,154 - WARNING - Score mismatch detected: original=5.1, validated=2.0
2025-06-08 10:51:29,155 - INFO - Robust conversion completed successfully!
2025-06-08 10:51:29,157 - INFO - Processing Statistics: {'total_processed': 296960, 'successful_records': 296960, 'cvss_parsed_successfully': 279496, 'cvss_validation_matches': 279420, 'error_records': 0, 'json_decode_errors': 0}
