Affected Vendor(s),CVE_ID,CVSS v3.0
Microsoft,CVE-2014-0290,6.8
Microsoft,CVE-2014-0278,6.8
Oracle,CVE-2014-2407,6.8
Oracle,CVE-2014-2418,7.5
Oracle,CVE-2014-2415,7.5
Oracle,CVE-2014-2417,7.5
Oracle,CVE-2014-2416,7.5
Oracle,CVE-2014-2424,7.5
Oracle,CVE-2014-0457,10.0
Oracle,CVE-2014-0432,10.0
Oracle,CVE-2014-0455,10.0
Oracle,CVE-2014-2421,10.0
Microsoft,CVE-2014-0321,6.8
Hewlett-Packard,CVE-2013-6213,10.0
Hewlett-Packard,CVE-2013-6215,8.5
IBM,CVE-2013-6748,7.5
CA,CVE-2014-2210,7.8
CA,CVE-2014-2210,7.8
CA,CVE-2014-2210,9.0
CA,CVE-2014-2210,7.1
CA,CVE-2014-2210,9.4
Adobe,CVE-2014-0506,6.8
Apple,CVE-2014-1303,6.8
Apple,CVE-2014-1300,6.8
Google,CVE-2014-1715,6.8
Google,CVE-2014-1705,6.8
Google,CVE-2014-1714,6.8
Google,CVE-2014-1713,6.8
Mozilla,CVE-2014-1514,6.8
Mozilla,CVE-2014-1513,6.8
Mozilla,CVE-2014-1512,6.8
Mozilla,CVE-2014-1511,6.8
Mozilla,CVE-2014-1510,6.8
Microsoft,CVE-2014-1760,6.8
Microsoft,CVE-2014-1753,6.8
Microsoft,CVE-2014-0325,6.8
Advantech,CVE-2014-0763,7.5
Advantech,CVE-2014-0764,7.5
Advantech,CVE-2014-0770,7.5
Advantech,CVE-2014-0767,7.5
Advantech,CVE-2014-0766,7.5
Advantech,CVE-2014-0765,7.5
WellinTech,CVE-2014-0787,10.0
Adobe,CVE-2014-0507,7.5
Sophos,CVE-2014-2849,8.5
SolarWinds,,7.8
SolarWinds,,7.5
SolarWinds,,7.5
SolarWinds,,5.1
SolarWinds,,7.5
Hewlett-Packard,CVE-2013-6210,7.5
Microsoft,CVE-2014-0285,7.5
Microsoft,CVE-2014-0274,6.8
EMC,CVE-2014-2276,5.0
Schneider Electric,CVE-2014-0779,6.8
Mozilla,CVE-2014-1486,6.8
Apple,CVE-2014-1290,6.8
Avaya,,10.0
Novell,CVE-2013-3706,8.5
Schneider Electric,CVE-2014-0774,6.8
Splunk,CVE-2013-6771,9.0
Splunk,CVE-2013-6771,9.0
Hewlett-Packard,CVE-2013-4841,10.0
McAfee,,7.8
Apple,CVE-2014-1251,6.8
Apple,CVE-2014-1246,7.5
Apple,CVE-2014-1245,7.5
Apple,CVE-2014-1247,7.5
Apple,CVE-2014-1244,10.0
Apple,CVE-2014-1243,6.8
Hewlett-Packard,CVE-2013-6207,9.4
Hewlett-Packard,CVE-2013-6203,7.5
Hewlett-Packard,CVE-2013-6204,7.5
Adobe,CVE-2014-0498,7.5
IBM,CVE-2013-6724,7.5
Oracle,CVE-2013-5907,9.3
IBM,CVE-2013-5400,10.0
Microsoft,CVE-2014-0307,6.8
Microsoft,CVE-2014-0308,6.8
Microsoft,CVE-2014-0313,6.8
Microsoft,CVE-2014-0312,7.5
Microsoft,CVE-2014-0299,6.8
Microsoft,CVE-2014-0298,6.8
Microsoft,CVE-2014-0297,6.8
EMC,CVE-2013-0946,10.0
Microsoft,CVE-2014-0281,6.8
Microsoft,CVE-2014-0289,6.8
Microsoft,CVE-2014-0275,6.8
Microsoft,CVE-2014-0274,6.8
Microsoft,CVE-2014-0287,6.8
Microsoft,CVE-2014-0286,6.8
Microsoft,CVE-2014-0288,6.8
Microsoft,CVE-2014-0269,6.8
Microsoft,CVE-2014-0270,6.8
Microsoft,CVE-2014-0263,5.1
IBM,CVE-2013-6749,7.5
IBM,CVE-2013-5387,6.8
GE,CVE-2014-0751,6.8
GE,CVE-2014-0750,7.5
Adobe,CVE-2014-0492,5.0
Oracle,CVE-2013-5907,6.8
WellinTech,CVE-2013-2826,7.5
WellinTech,CVE-2013-2827,7.5
Hewlett-Packard,CVE-2013-6189,10.0
Hewlett-Packard,CVE-2013-6195,7.5
Hewlett-Packard,CVE-2013-2347,10.0
Hewlett-Packard,CVE-2013-2350,10.0
Hewlett-Packard,CVE-2013-2345,10.0
Hewlett-Packard,CVE-2013-2349,10.0
Hewlett-Packard,CVE-2013-2346,10.0
Hewlett-Packard,CVE-2013-6194,10.0
Hewlett-Packard,CVE-2013-2348,10.0
Hewlett-Packard,CVE-2013-2344,10.0
Adobe,CVE-2015-8416,6.8
Adobe,CVE-2015-8823,6.8
Adobe,CVE-2015-8822,6.8
Adobe,CVE-2015-8821,6.8
Adobe,CVE-2015-8658,6.8
Adobe,CVE-2015-8820,6.8
Adobe,CVE-2015-8657,6.8
Adobe,CVE-2015-8656,6.8
Adobe,CVE-2015-8654,6.8
Adobe,CVE-2015-8653,6.8
Adobe,CVE-2015-8652,6.8
Adobe,CVE-2015-8655,6.8
Microsoft,CVE-2015-6065,6.8
Adobe,CVE-2015-8649,6.8
Adobe,CVE-2015-8648,6.8
Adobe,CVE-2015-8650,6.8
Adobe,CVE-2015-8647,6.8
Adobe,CVE-2015-8639,6.8
Adobe,CVE-2015-8638,6.8
Microsoft,CVE-2015-6083,6.8
Mozilla,CVE-2015-4509,6.8
Microsoft,CVE-2015-6159,4.3
Foxit,,6.8
Foxit,,6.8
Foxit,,6.8
Foxit,,6.8
Foxit,CVE-2015-8843,6.9
Microsoft,CVE-2016-0035,6.8
Apache,CVE-2015-8581,7.5
Adobe,CVE-2015-8458,6.8
Adobe,CVE-2015-8457,6.8
Schneider Electric,CVE-2015-7918,6.8
Schneider Electric,CVE-2015-7918,6.8
Schneider Electric,CVE-2015-7918,6.8
Schneider Electric,CVE-2015-7918,6.8
Schneider Electric,CVE-2015-7918,6.8
Schneider Electric,CVE-2015-7918,6.8
Schneider Electric,CVE-2015-8561,6.8
Schneider Electric,CVE-2015-8561,6.8
Schneider Electric,CVE-2015-8561,6.8
Schneider Electric,CVE-2015-8561,6.8
Schneider Electric,CVE-2015-7918,6.8
Wireshark,CVE-2015-7830,6.8
Foxit,CVE-2015-8580,6.8
Foxit,CVE-2015-8580,6.8
Lepide,CVE-2015-8570,7.4
Autodesk,CVE-2015-8572,6.8
Autodesk,CVE-2015-8572,6.8
Autodesk,CVE-2015-8572,6.8
Autodesk,CVE-2015-8571,6.8
Autodesk,CVE-2015-8572,6.8
Autodesk,CVE-2015-8572,6.8
Adobe,CVE-2015-8453,5.1
Adobe,CVE-2015-8450,6.8
Adobe,CVE-2015-8449,6.8
Adobe,CVE-2015-8448,6.8
Adobe,CVE-2015-8447,6.8
Adobe,CVE-2015-8446,6.8
Adobe,CVE-2015-8445,6.8
Adobe,CVE-2015-8442,6.8
Adobe,CVE-2015-8439,6.8
Adobe,CVE-2015-8438,6.8
Adobe,CVE-2015-8437,6.8
Adobe,CVE-2015-8436,6.8
Adobe,CVE-2015-8050,6.8
Adobe,CVE-2015-8049,6.8
Microsoft,CVE-2015-6134,6.8
Microsoft,CVE-2015-6151,6.8
Microsoft,CVE-2015-6147,6.8
Microsoft,CVE-2015-6136,4.3
Microsoft,CVE-2015-6136,4.3
Microsoft,CVE-2015-6136,4.3
Microsoft,CVE-2015-6136,4.3
Microsoft,CVE-2015-6136,4.3
Microsoft,CVE-2015-6136,4.3
Microsoft,CVE-2015-6136,4.3
Microsoft,CVE-2015-6150,6.8
Microsoft,CVE-2015-6149,6.8
Microsoft,CVE-2015-6148,6.8
Microsoft,CVE-2015-6142,6.8
Microsoft,CVE-2015-6135,4.3
Microsoft,CVE-2015-6141,6.8
Microsoft,CVE-2015-6143,6.8
Microsoft,CVE-2015-6168,6.8
Microsoft,CVE-2015-6160,6.8
Hewlett-Packard,CVE-2015-6857,7.5
Unitronics,CVE-2015-6478,6.8
Unitronics,CVE-2015-6478,6.8
Unitronics,CVE-2015-6478,6.8
Unitronics,CVE-2015-6478,6.8
Unitronics,CVE-2015-7905,6.8
Unitronics,CVE-2015-7905,6.8
Unitronics,CVE-2015-7905,6.8
Unitronics,CVE-2015-6478,6.8
Tibbo,CVE-2015-7913,7.2
Tibbo,CVE-2015-7912,9.3
SQLite,CVE-2015-7036,7.5
Adobe,CVE-2015-6696,6.8
Microsoft,CVE-2015-1767,6.8
Adobe,CVE-2015-7657,6.8
Adobe,CVE-2015-7659,6.8
Adobe,CVE-2015-7660,6.8
Adobe,CVE-2015-7661,6.8
Adobe,CVE-2015-8042,6.8
Adobe,CVE-2015-7658,6.8
Adobe,CVE-2015-7653,6.8
Adobe,CVE-2015-7654,6.8
Adobe,CVE-2015-7655,6.8
Adobe,CVE-2015-7656,6.8
Adobe,CVE-2015-7652,6.8
Adobe,CVE-2015-7651,6.8
SolarWinds,CVE-2015-8220,7.5
IBM,CVE-2015-7820,7.1
IBM,CVE-2015-7817,7.1
IBM,CVE-2015-7819,7.1
IBM,CVE-2015-7818,7.2
Oracle,,10.0
AlienVault,,7.5
AlienVault,,6.9
Microsoft,CVE-2015-6086,4.3
Microsoft,CVE-2015-6094,6.8
Microsoft,CVE-2015-6051,4.4
Microsoft,CVE-2015-6081,6.8
Microsoft,CVE-2015-6038,6.8
Microsoft,CVE-2015-6077,6.8
Microsoft,CVE-2015-6076,6.8
Microsoft,CVE-2015-6075,6.8
Microsoft,CVE-2015-6093,6.8
Microsoft,CVE-2015-6064,6.8
Microsoft,CVE-2015-6055,6.8
Microsoft,CVE-2015-2367,2.1
Hewlett-Packard,CVE-2015-6867,7.5
Adobe,CVE-2015-7650,6.8
Apple,CVE-2015-6978,6.8
SAP,CVE-2015-8029,6.8
SAP,CVE-2015-8028,6.8
SAP,CVE-2015-8030,6.8
SAP,CVE-2015-8030,6.8
SAP,CVE-2015-8030,6.8
SAP,CVE-2015-8030,6.8
SAP,CVE-2015-8028,6.8
Foxit,,6.8
Foxit,,6.8
Microsoft,CVE-2015-6045,6.8
Microsoft,CVE-2015-6047,6.9
Microsoft,CVE-2015-6055,7.5
Microsoft,CVE-2015-6042,6.8
Microsoft,CVE-2015-2557,6.8
Microsoft,CVE-2015-6053,6.8
Microsoft,CVE-2015-2555,6.8
Microsoft,CVE-2015-2558,6.8
Microsoft,CVE-2015-2482,6.8
Adobe,CVE-2015-7629,6.8
Adobe,CVE-2015-7631,6.8
Adobe,CVE-2015-7632,6.8
Adobe,CVE-2015-7643,6.8
Adobe,CVE-2015-7623,6.8
Adobe,CVE-2015-7614,9.0
Adobe,CVE-2015-7621,6.8
Adobe,CVE-2015-6716,6.8
Adobe,CVE-2015-6720,6.8
Adobe,CVE-2015-6725,6.8
Adobe,CVE-2015-6719,6.8
Adobe,CVE-2015-6718,6.8
Adobe,CVE-2015-6721,6.8
Adobe,CVE-2015-6722,6.8
Adobe,CVE-2015-7619,6.8
Adobe,CVE-2015-6717,6.8
Adobe,CVE-2015-7618,6.8
Adobe,CVE-2015-6723,6.8
Adobe,CVE-2015-7620,6.8
Adobe,CVE-2015-6724,6.8
Adobe,CVE-2015-7616,6.8
Adobe,CVE-2015-7615,6.8
Adobe,CVE-2015-7617,6.8
Adobe,CVE-2015-6715,7.5
Adobe,CVE-2015-6714,7.5
Adobe,CVE-2015-6713,7.5
Adobe,CVE-2015-6712,6.8
Adobe,CVE-2015-6710,6.8
Adobe,CVE-2015-6709,6.8
Adobe,CVE-2015-6711,6.8
Adobe,CVE-2015-6708,6.8
Adobe,CVE-2015-6707,6.8
Adobe,CVE-2015-6704,5.0
Adobe,CVE-2015-6703,5.0
Adobe,CVE-2015-6702,5.0
Adobe,CVE-2015-6701,5.0
Adobe,CVE-2015-6700,5.0
Adobe,CVE-2015-6699,5.0
Adobe,CVE-2015-6698,6.8
Adobe,CVE-2015-6697,6.8
Adobe,CVE-2015-6690,6.8
Adobe,CVE-2015-6693,6.8
Adobe,CVE-2015-6695,6.8
Adobe,CVE-2015-6694,6.8
Adobe,CVE-2015-6689,6.8
Adobe,CVE-2015-6688,6.8
Adobe,CVE-2015-5583,4.3
Adobe,CVE-2015-6685,6.8
Adobe,CVE-2015-6686,6.8
Adobe,CVE-2015-7829,1.9
Samsung,CVE-2015-8040,6.8
Samsung,CVE-2015-8039,7.5
Samsung,CVE-2015-8039,7.5
SolarWinds,CVE-2015-7839,7.5
SolarWinds,CVE-2015-7838,10.0
Microsoft,CVE-2015-2429,4.4
Microsoft,CVE-2015-2408,6.8
Microsoft,,6.9
Mozilla,CVE-2015-4479,6.8
"VMware, Inc.",CVE-2015-2342,10.0
Samsung,,7.5
Moxa,CVE-2015-6481,7.5
Moxa,CVE-2015-6480,7.5
Indusoft,CVE-2015-7374,7.5
Kaseya,CVE-2015-6589,6.5
Kaseya,CVE-2015-6922,7.5
Kaseya,CVE-2015-6922,7.5
Adobe,CVE-2015-5570,6.8
Adobe,CVE-2015-6678,6.8
Avira,CVE-2015-7303,9.3
Symantec,"CVE-2015-5690, CVE-2015-5693",9.3
Symantec,"CVE-2015-5691, CVE-2015-5692",8.5
Codesys,CVE-2015-6460,7.5
Codesys,CVE-2015-6460,7.5
GE,CVE-2015-6456,9.0
GE,CVE-2015-6459,9.4
Cogent Real-Time Systems,CVE-2014-3789,7.5
Moxa,CVE-2015-6457,6.8
Moxa,CVE-2015-6457,6.8
Moxa,CVE-2015-6457,6.8
Moxa,CVE-2015-6457,6.8
Moxa,CVE-2015-6458,6.8
Moxa,CVE-2015-6457,6.8
Moxa,CVE-2015-6457,6.8
Moxa,CVE-2015-6457,6.8
Moxa,CVE-2015-6457,6.8
Microsoft,CVE-2015-2541,6.8
Microsoft,CVE-2015-2501,6.8
Microsoft,CVE-2015-2500,6.8
Microsoft,CVE-2015-2499,6.8
Microsoft,CVE-2015-2498,6.8
Microsoft,CVE-2015-2489,6.9
Microsoft,CVE-2015-2486,6.8
Microsoft,CVE-2015-2485,6.8
Microsoft,CVE-2015-2487,6.8
Symantec,CVE-2015-5689,6.8
Borland,,8.8
Borland,,7.1
Borland,CVE-2015-6946,9.3
Borland,,6.8
Borland,CVE-2015-6946,9.3
Borland,,7.1
Borland,CVE-2015-6946,9.3
Borland,,8.8
Corel,CVE-2015-6948,6.8
ASUS,CVE-2015-6949,7.9
Hewlett-Packard,CVE-2015-5426,4.4
Apache,CVE-2015-1830,7.5
Mozilla,CVE-2015-4497,7.5
Hewlett-Packard,CVE-2015-5417,7.5
Hewlett-Packard,CVE-2015-5420,7.5
Hewlett-Packard,CVE-2015-5422,7.5
Hewlett-Packard,CVE-2015-5419,7.5
Hewlett-Packard,CVE-2015-5418,7.5
Hewlett-Packard,CVE-2015-5421,7.5
Hewlett-Packard,CVE-2015-5423,7.5
Hewlett-Packard,CVE-2015-5424,7.5
Hewlett-Packard,CVE-2015-5416,7.5
ManageEngine,,7.5
Foxit,,5.1
PHP,,7.5
Foxit,,5.1
Moxa,CVE-2015-0986,7.5
Moxa,CVE-2015-1000,7.5
Apple,CVE-2015-3799,7.2
Microsoft,CVE-2015-2452,6.8
Microsoft,CVE-2015-2455,10.0
Microsoft,CVE-2015-2435,10.0
Microsoft,CVE-2015-2454,4.4
Microsoft,CVE-2015-2451,6.8
Microsoft,CVE-2015-2450,6.8
Microsoft,CVE-2015-2448,7.5
Microsoft,CVE-2015-2443,5.4
Microsoft,CVE-2015-2440,5.4
Microsoft,CVE-2015-2429,4.7
Microsoft,CVE-2015-2429,6.9
Microsoft,CVE-2015-2430,6.9
Microsoft,CVE-2015-1743,6.9
IBM,CVE-2015-4934,10.0
IBM,CVE-2015-4931,10.0
IBM,CVE-2015-4933,10.0
IBM,CVE-2015-4932,10.0
IBM,CVE-2015-4935,10.0
Adobe,CVE-2015-5107,4.3
Adobe,CVE-2015-5106,6.6
Adobe,CVE-2015-5109,6.8
Adobe,CVE-2015-5110,6.8
BitTorrent,CVE-2015-5685,6.8
BitTorrent,CVE-2015-5685,6.8
"Apache, Elastic",CVE-2015-3253,7.5
Hewlett-Packard,CVE-2015-7861,10.0
Hewlett-Packard,CVE-2015-7860,10.0
Microsoft,,6.8
Microsoft,,6.8
Microsoft,,6.8
Microsoft,,7.5
BitTorrent,CVE-2015-5474,7.5
Oracle,CVE-2015-4745,6.5
Oracle,CVE-2015-2603,7.5
Oracle,CVE-2015-2602,6.5
Oracle,CVE-2015-2604,6.5
Oracle,CVE-2015-2605,6.5
Oracle,CVE-2015-2606,6.5
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Belkin,CVE-2015-5536,9.0
Microsoft,CVE-2015-2402,4.6
Microsoft,CVE-2015-2383,6.8
NetIQ,CVE-2015-0795,7.5
Microsoft,CVE-2015-2371,6.8
Microsoft,CVE-2015-1767,6.8
Microsoft,CVE-2015-2397,6.8
Microsoft,CVE-2015-1767,6.8
Microsoft,CVE-2015-2388,6.8
Microsoft,CVE-2015-1767,6.8
Microsoft,CVE-2015-2406,6.8
Microsoft,CVE-2015-2404,6.8
Microsoft,CVE-2015-2412,4.7
Microsoft,CVE-2015-2397,6.8
Microsoft,CVE-2015-2403,6.8
Microsoft,CVE-2015-2375,6.4
Microsoft,CVE-2015-2377,5.8
Microsoft,CVE-2015-2376,6.8
Microsoft,CVE-2015-2368,6.9
Adobe,CVE-2015-5114,6.8
Adobe,CVE-2015-5113,6.8
Adobe,CVE-2015-5095,6.8
Adobe,CVE-2015-5094,6.8
Adobe,CVE-2015-5093,6.8
Adobe,CVE-2015-4447,6.8
Adobe,CVE-2015-4441,6.8
Adobe,CVE-2015-4438,6.8
Adobe,CVE-2015-4435,6.8
Adobe,CVE-2015-5091,6.3
Adobe,CVE-2015-5090,6.9
Adobe,CVE-2015-4445,6.8
Adobe,CVE-2015-5115,6.8
Adobe,CVE-2015-5086,6.8
Adobe,CVE-2015-5085,5.0
Adobe,CVE-2015-4452,6.8
Adobe,CVE-2015-5111,6.8
Adobe,CVE-2015-5102,6.8
Adobe,CVE-2015-5104,6.8
Adobe,CVE-2015-5103,6.8
Adobe,CVE-2015-5101,6.8
Adobe,CVE-2015-5100,6.8
Adobe,CVE-2015-5108,6.8
Samsung,CVE-2015-5473,7.8
Samsung,CVE-2015-5473,7.5
Samsung,CVE-2015-5473,10.0
Samsung,CVE-2015-5473,10.0
Samsung,CVE-2015-5473,10.0
Samsung,CVE-2015-5473,7.8
Microsoft,CVE-2015-1743,6.9
Adobe,CVE-2015-3125,5.8
Adobe,CVE-2015-3039,6.8
Apple,CVE-2015-3669,6.8
SQLite,CVE-2015-3659,7.5
SQLite,CVE-2015-3717,5.1
Apple,CVE-2015-3666,6.8
Apple,CVE-2015-3711,4.9
Apple,CVE-2015-3679,6.8
Apple,CVE-2015-3677,4.9
Apple,CVE-2015-3723,6.8
Apple,CVE-2015-3680,6.8
Apple,CVE-2015-3690,4.9
Apple,CVE-2015-3724,6.8
WebKit.Org,CVE-2015-3727,7.5
Apple,CVE-2015-3662,6.8
Apple,CVE-2015-3663,6.8
Apple,CVE-2015-3664,5.1
Apple,CVE-2015-3661,6.8
Apple,CVE-2015-3665,6.8
SolarWinds,CVE-2015-5371,10.0
IBM,CVE-2015-1986,10.0
IBM,CVE-2015-1953,10.0
IBM,CVE-2015-1938,10.0
IBM,CVE-2015-1949,10.0
IBM,CVE-2015-1948,10.0
IBM,CVE-2015-1942,10.0
IBM,CVE-2015-1941,7.8
IBM,CVE-2015-1924,10.0
IBM,CVE-2015-1925,10.0
IBM,CVE-2015-1930,10.0
IBM,CVE-2015-1923,10.0
IBM,CVE-2015-1929,10.0
Hewlett-Packard,,10.0
Panasonic,CVE-2015-4648,7.5
Panasonic,CVE-2015-4647,7.5
Panasonic,CVE-2015-4647,7.5
Apple,,7.5
Samsung,CVE-2015-4033,3.3
Samsung,CVE-2015-4034,7.9
Microsoft,CVE-2015-1622,6.8
Microsoft,CVE-2015-1755,6.8
Microsoft,CVE-2015-1736,6.8
Microsoft,CVE-2015-1745,6.8
Microsoft,CVE-2015-1748,6.9
Microsoft,CVE-2015-1747,6.8
Microsoft,CVE-2015-1739,6.9
Microsoft,,6.9
Microsoft,CVE-2015-1735,6.8
Wavelink,CVE-2015-4060,10.0
Wavelink,CVE-2015-4059,10.0
Arcserve,CVE-2015-4069,7.8
Arcserve,CVE-2015-4069,7.8
Arcserve,CVE-2015-4068,9.4
Arcserve,CVE-2015-4068,9.4
Dell,CVE-2015-4067,9.3
Hewlett-Packard,CVE-2015-2120,9.0
Visual Mining,CVE-2015-4032,10.0
Visual Mining,CVE-2015-4031,10.0
Google,CVE-2015-1251,6.8
ManageEngine,,10.0
ManageEngine,,10.0
Valve,CVE-2015-4016,5.0
ManageEngine,,10.0
SonicWALL,CVE-2015-3990,9.0
ManageEngine,,10.0
ManageEngine,,10.0
Apple,CVE-2015-1155,7.5
Microsoft,CVE-2015-0092,6.9
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
Microsoft,CVE-2015-1717,6.8
Microsoft,CVE-2015-1709,6.8
ManageEngine,,10.0
ManageEngine,CVE-2014-6037,10.0
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
Adobe,CVE-2015-3085,4.4
Adobe,CVE-2015-3053,6.8
Adobe,CVE-2015-3054,6.8
Adobe,CVE-2015-3055,6.8
Adobe,CVE-2015-3059,6.8
Adobe,CVE-2015-3058,5.0
Adobe,CVE-2015-3057,6.8
Adobe,CVE-2015-3056,6.8
Adobe,CVE-2015-3060,6.8
Adobe,CVE-2015-3062,6.8
Adobe,CVE-2015-3061,6.8
Adobe,CVE-2015-3069,6.8
Adobe,CVE-2015-3064,6.8
Adobe,CVE-2015-3063,6.8
Adobe,CVE-2015-3068,6.8
Adobe,CVE-2015-3067,6.8
Adobe,CVE-2015-3066,6.8
Adobe,CVE-2015-3065,6.8
Adobe,CVE-2015-3074,6.8
Adobe,CVE-2015-3073,6.8
Adobe,CVE-2015-3072,6.8
Adobe,CVE-2015-3071,6.8
IBM,CVE-2015-1903,10.0
IBM,CVE-2015-1902,10.0
Hewlett-Packard,CVE-2015-2121,7.8
Microsoft,CVE-2015-1681,5.0
Microsoft,CVE-2015-1676,4.9
Microsoft,CVE-2015-1674,4.9
Microsoft,CVE-2015-1680,4.9
Microsoft,CVE-2015-1679,4.9
Microsoft,CVE-2015-1678,4.9
Microsoft,CVE-2015-1677,4.9
Microsoft,CVE-2015-1706,6.8
Microsoft,CVE-2015-1684,5.0
Microsoft,CVE-2015-1682,6.8
Microsoft,CVE-2015-1714,6.8
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
EMC,CVE-2015-0538,10.0
EMC,CVE-2015-0538,9.0
EMC,CVE-2015-0538,9.0
EMC,CVE-2015-0538,9.0
EMC,CVE-2015-0538,9.0
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
ManageEngine,,10.0
Apple,CVE-2015-1140,6.9
ManageEngine,,6.4
ManageEngine,CVE-2014-5006,10.0
ManageEngine,CVE-2014-7863,7.8
AlienVault,CVE-2015-3446,9.3
Amazon,,7.5
Amazon,,6.8
Amazon,,7.5
Samsung,CVE-2015-3435,10.0
Samsung,CVE-2015-3435,10.0
Realtek,CVE-2014-8361,10.0
Hewlett-Packard,CVE-2015-2117,9.3
Novell,CVE-2015-0786,10.0
Novell,CVE-2015-0785,5.0
Novell,CVE-2015-0781,6.8
Novell,CVE-2015-0783,3.5
Novell,CVE-2015-0784,6.8
Novell,CVE-2015-0782,6.8
Novell,CVE-2015-0780,6.8
Oracle,CVE-2015-0495,7.5
ManageEngine,CVE-2014-7866,10.0
ManageEngine,CVE-2014-7866,10.0
ManageEngine,CVE-2014-6034,10.0
ManageEngine,CVE-2014-6035,10.0
ManageEngine,CVE-2014-7868,10.0
ManageEngine,CVE-2014-7868,10.0
ManageEngine,CVE-2014-7868,10.0
ManageEngine,CVE-2014-5445,7.8
Google,CVE-2015-1234,6.8
Microsoft,CVE-2015-1659,6.8
IBM,CVE-2015-0135,10.0
Adobe,CVE-2015-0349,6.8
Adobe,CVE-2015-0347,6.8
Microsoft,CVE-2015-1650,6.8
Microsoft,CVE-2015-1652,6.8
Microsoft,CVE-2015-1667,6.8
Microsoft,CVE-2015-1666,6.8
Microsoft,CVE-2015-1665,6.8
Microsoft,CVE-2015-1661,6.8
Microsoft,CVE-2015-1660,6.8
Microsoft,CVE-2015-1668,6.8
Microsoft,CVE-2015-1668,6.8
Apple,CVE-2015-1069,6.8
Apple,CVE-2015-1101,6.8
Apple,CVE-2015-1140,6.8
Moxa,CVE-2015-1000,7.5
IBM,CVE-2015-0120,9.3
IBM,CVE-2015-0119,7.5
IBM,CVE-2015-0117,10.0
IBM,CVE-2015-0134,10.0
BitTorrent,CVE-2015-2846,7.5
ManageEngine,,10.0
ManageEngine,CVE-2014-6036,10.0
ManageEngine,,10.0
Cisco,CVE-2015-0666,7.8
Mozilla,CVE-2015-0816,7.5
Mozilla,CVE-2015-0817,6.8
Mozilla,CVE-2015-0818,7.5
SolarWinds,CVE-2015-2284,10.0
Oracle,CVE-2015-0443,6.8
Oracle,CVE-2015-0444,6.8
Oracle,CVE-2015-0445,6.8
Oracle,CVE-2015-0446,7.5
Microsoft,CVE-2015-0043,6.8
Hewlett-Packard,CVE-2014-7889,6.8
Hewlett-Packard,CVE-2014-7895,6.8
Hewlett-Packard,CVE-2014-7893,6.8
Hewlett-Packard,CVE-2014-7892,6.8
Hewlett-Packard,CVE-2014-7888,6.8
Hewlett-Packard,CVE-2014-7894,6.8
Hewlett-Packard,CVE-2014-7891,6.8
Hewlett-Packard,CVE-2014-7890,6.8
Google,CVE-2014-7912,5.1
Google,CVE-2014-7914,4.8
MICROSYS,CVE-2014-9205,7.5
Schneider Electric,CVE-2015-0982,7.5
Google,CVE-2015-1230,6.8
Microsoft,CVE-2015-0085,6.8
Adobe,CVE-2015-0341,6.8
Microsoft,CVE-2015-0096,7.5
Microsoft,CVE-2014-6329,6.8
Microsoft,CVE-2015-1624,6.8
Microsoft,CVE-2015-1623,6.8
Microsoft,CVE-2015-1622,6.8
Microsoft,CVE-2015-0100,6.8
Microsoft,CVE-2015-0099,6.8
Microsoft,CVE-2015-0077,2.1
Microsoft,CVE-2015-0094,2.1
Microsoft,CVE-2015-0056,6.8
Microsoft,CVE-2015-0081,6.8
Microsoft,CVE-2015-1626,6.8
WebGate,CVE-2015-2094,7.5
WebGate,CVE-2015-2094,7.5
WebGate,CVE-2015-2094,7.5
WebGate,CVE-2015-2094,7.5
WebGate,CVE-2015-2095,7.5
WebGate,CVE-2015-2096,7.5
WebGate,CVE-2015-2097,7.5
WebGate,CVE-2015-2100,7.5
WebGate,CVE-2015-2098,7.5
WebGate,CVE-2015-2098,7.5
WebGate,CVE-2015-2098,7.5
WebGate,CVE-2015-2099,7.5
WebGate,CVE-2015-2097,7.5
WebGate,CVE-2015-2098,7.5
WebGate,CVE-2015-2098,7.5
WebGate,CVE-2015-2097,7.5
WebGate,CVE-2015-2098,7.5
WebGate,CVE-2015-2100,7.5
WebGate,CVE-2015-2099,7.5
WebGate,CVE-2015-2099,7.5
WebGate,CVE-2015-2093,7.5
Agilent Technologies,CVE-2015-2092,7.5
Microsoft,,4.3
PTC,CVE-2015-2061,7.5
Microsoft,CVE-2014-6369,6.8
Dell,CVE-2015-1605,7.5
Dell,CVE-2015-1605,7.5
Adobe,CVE-2015-0331,6.8
Lexmark,CVE-2014-9375,9.0
Adobe,CVE-2015-0314,6.8
SolarWinds,CVE-2015-1500,7.5
SolarWinds,CVE-2015-1501,7.5
SolarWinds,CVE-2015-1500,7.5
Samsung,CVE-2015-1499,8.5
