Affected Vendor(s),CVE_ID,CVSS v3.0
Apple,CVE-2008-2317,
Mozilla Firefox,CVE-2008-2785,
Sun Microsystems,CVE-2008-3111,
Sun Microsystems,CVE-2008-3112,
Novell,CVE-2008-3159,
Microsoft,CVE-2008-1444,
Microsoft,CVE-2008-1442,
Apple,CVE-2008-1585,
Apple,CVE-2008-1584,
Computer Associates,CVE-2008-2541,
Computer Associates,CVE-2008-2541,
Hewlett-Packard,CVE-2008-1661,
Motorola,CVE-2008-2548,
Adobe,CVE-2007-0071,
Cerulean Studios,CVE-2008-2409,
Cerulean Studios,CVE-2008-2408,
Cerulean Studios,CVE-2008-2407,
IBM,CVE-2008-2499,
Computer Associates,CVE-2008-2241,
Computer Associates,CVE-2008-2242,
Symantec,CVE-2008-2291,
Symantec,CVE-2008-2286,
Microsoft,CVE-2008-1091,
Apple,CVE-2008-1026,
Adobe,CVE-2007-6019,
Microsoft,CVE-2008-1083,
Apple,CVE-2008-1022,
Apple,CVE-2008-1021,
Apple,CVE-2008-1020,
Apple,CVE-2008-1018,
Apple,CVE-2008-1017,
Apple,CVE-2008-1019,
Novell,CVE-2008-0924,
IBM,CVE-2008-0727,
IBM,CVE-2008-0727,
Sun Microsystems,CVE-2008-1188,
Sun Microsystems,CVE-2008-1188,
Microsoft,CVE-2008-0113,
Symantec,CVE-2008-0638,
Microsoft,CVE-2008-0077,
Novell,CVE-2008-0639,
Adobe,CVE-2008-0726,
Symantec,CVE-2008-0457,
Citrix,CVE-2008-0356,
IBM,CVE-2008-0247,
Novell,,
IBM,,
Hewlett-Packard,CVE-2007-2280,
Symantec,CVE-2009-3027,
Hewlett-Packard,CVE-2009-3849,
Hewlett-Packard,CVE-2009-3848,
Hewlett-Packard,CVE-2009-3849,
Hewlett-Packard,CVE-2009-3845,
Adobe,CVE-2009-3799,
Adobe,CVE-2009-3794,
Hewlett-Packard,CVE-2009-3844,
Microsoft,CVE-2009-4310,
Microsoft,CVE-2009-4309,
Microsoft,CVE-2009-3674,
Microsoft,CVE-2009-3673,
Microsoft,CVE-2009-3671,
Hewlett-Packard,CVE-2009-3843,
Apple,CVE-2009-0954,
Microsoft,CVE-2009-3129,
Microsoft,CVE-2009-3127,
Hewlett-Packard,CVE-2009-2685,
Sun Microsystems,CVE-2009-3874,
Sun Microsystems,CVE-2009-3871,
Sun Microsystems,CVE-2009-3869,
Sun Microsystems,CVE-2009-3866,
Sun Microsystems,CVE-2009-3867,
Novell,CVE-2009-3862,
"EMC, OpenText",,
Adobe,CVE-2009-2985,
Microsoft,CVE-2009-2503,
Microsoft,CVE-2009-2531,
Microsoft,CVE-2009-2530,
Microsoft,CVE-2009-0555,
EMC,CVE-2009-1120,
Novell,,
Adobe,CVE-2009-3068,
Mozilla Firefox,CVE-2009-3077,
Apple,CVE-2009-2798,
Apple,CVE-2009-2799,
Microsoft,CVE-2009-1920,
Symantec,CVE-2009-1430,
Symantec,CVE-2009-1429,
Oracle,CVE-2009-1978,
Oracle,CVE-2009-1977,
Microsoft,CVE-2009-1133,
Microsoft,CVE-2009-2496,
Microsoft,CVE-2009-0562,
Microsoft,CVE-2009-1136,
Microsoft,CVE-2009-1923,
Computer Associates,CVE-2009-2026,
EMC,,
Sun Microsystems,,
Sun Microsystems,CVE-2009-2675,
Microsoft,CVE-2009-1919,
Microsoft,CVE-2009-1918,
Novell,,
Microsoft,CVE-2009-1539,
Adobe,CVE-2009-1860,
Apple,CVE-2009-1719,
Adobe,CVE-2009-1855,
Microsoft,CVE-2009-1532,
Microsoft,CVE-2009-1134,
Microsoft,CVE-2009-1531,
Microsoft,CVE-2009-1530,
Microsoft,CVE-2009-1528,
Microsoft,CVE-2009-1529,
Microsoft,CVE-2009-0563,
Apple,CVE-2009-1709,
Apple,CVE-2009-1701,
Apple,CVE-2009-1698,
"Adium, Pidgin",CVE-2009-1376,
Apple,CVE-2009-0010,
Apple,CVE-2009-0957,
Apple,CVE-2009-0954,
Apple,CVE-2009-0953,
Apple,CVE-2009-0952,
Apple,CVE-2009-0951,
Safenet,CVE-2009-1943,
Apple,CVE-2009-0154,
Apple,CVE-2009-0945,
Apple,CVE-2009-0010,
Microsoft,CVE-2009-1130,
Microsoft,CVE-2009-0556,
Symantec,CVE-2009-1430,
Oracle,CVE-2009-0993,
Novell,CVE-2009-1350,
Mozilla Firefox,CVE-2009-1044,
Adobe,CVE-2009-0927,
Mozilla Firefox,CVE-2009-0775,
Microsoft,CVE-2009-0076,
Microsoft,CVE-2009-0075,
Novell,CVE-2009-0410,
EMC,CVE-2009-0311,
Apple,CVE-2009-0007,
Apple,CVE-2009-0006,
Apple,CVE-2009-0003,
Apple,CVE-2009-0002,
Oracle,CVE-2008-5440,
Oracle,CVE-2008-5448,
Microsoft,CVE-2008-4835,
Microsoft,CVE-2008-4834,
Trend Micro,,10.0
Novell,,9.0
Novell,,9.0
Novell,,9.0
Novell,,9.0
Novell,,9.0
Novell,,9.0
Rocket,,10.0
Hewlett-Packard,,10.0
Hewlett-Packard,CVE-2010-4113,10.0
Symantec,CVE-2010-0114,10.0
SAP,,9.0
Microsoft,CVE-2010-3346,10.0
Microsoft,CVE-2010-3345,10.0
Microsoft,CVE-2010-3964,10.0
Microsoft,CVE-2010-3937,6.8
Novell,,9.0
Novell,,10.0
Novell,,10.0
RealNetworks,CVE-2010-4394,9.0
RealNetworks,CVE-2010-4391,9.0
RealNetworks,CVE-2010-4392,9.0
RealNetworks,CVE-2010-4389,9.0
RealNetworks,CVE-2010-4388,9.0
RealNetworks,CVE-2010-4388,9.0
RealNetworks,CVE-2010-4388,9.0
RealNetworks,CVE-2010-4396,9.0
RealNetworks,CVE-2010-4378,9.0
RealNetworks,CVE-2010-2999,9.0
RealNetworks,CVE-2010-4377,9.0
RealNetworks,CVE-2010-4376,9.0
RealNetworks,CVE-2010-2997,9.0
RealNetworks,CVE-2010-4397,9.0
RealNetworks,CVE-2010-4384,9.0
RealNetworks,CVE-2010-4395,9.0
RealNetworks,CVE-2010-4375,9.0
Mozilla Firefox,CVE-2010-3767,9.0
Mozilla Firefox,CVE-2010-3766,9.0
CA,CVE-2010-3984,10.0
Apple,CVE-2010-3800,9.0
Apple,CVE-2010-3800,9.0
Apple,CVE-2010-3802,9.0
Apple,CVE-2010-3801,9.0
Apple,CVE-2010-1508,10.0
Apple,CVE-2010-3812,9.0
Novell,CVE-2010-4321,9.0
Apple,CVE-2010-3792,9.0
Apple,CVE-2010-3791,9.0
Apple,CVE-2010-3795,9.0
Apple,CVE-2010-3788,9.0
Apple,CVE-2010-3794,9.0
Apple,CVE-2010-3789,10.0
Apple,CVE-2010-3793,10.0
Apple,CVE-2010-1843,7.8
Novell,,10.0
Microsoft,CVE-2010-3335,9.0
Microsoft,CVE-2010-2573,9.0
Apple,CVE-2010-0515,9.0
Novell,,10.0
Novell,,9.0
Novell,,10.0
Novell,,10.0
Novell,,10.0
Novell,,10.0
Novell,,10.0
SAP,,10.0
Cisco,CVE-2010-3040,10.0
Cisco,CVE-2010-3040,10.0
Cisco,CVE-2010-3040,10.0
Cisco,CVE-2010-3040,10.0
Juniper,,6.4
Novell,,10.0
ProFTPD,,10.0
Adobe,CVE-2010-4090,7.5
Adobe,CVE-2010-3655,9.0
Symantec,CVE-2010-0112,10.0
Symantec,CVE-2010-0112,10.0
Symantec,CVE-2010-0112,10.0
Symantec,CVE-2010-0112,10.0
Symantec,CVE-2010-0112,10.0
Symantec,CVE-2010-0112,10.0
Symantec,CVE-2010-0112,10.0
Mozilla Firefox,CVE-2010-3183,9.0
IBM,CVE-2008-2154,9.0
IBM,,9.0
IBM,,9.0
IBM,,10.0
IBM,,10.0
RealNetworks,CVE-2010-3751,9.0
RealNetworks,CVE-2010-3750,9.0
RealNetworks,CVE-2010-3749,9.0
RealNetworks,CVE-2010-3747,9.0
RealNetworks,CVE-2010-2998,9.0
Oracle,CVE-2010-3559,9.0
Oracle,CVE-2010-3555,9.0
Oracle,CVE-2010-3552,9.0
Sun Microsystems,CVE-2010-3565,9.0
Sun Microsystems,CVE-2010-3566,9.0
Sun Microsystems,CVE-2010-3571,9.0
Sun Microsystems,CVE-2010-3563,10.0
Oracle,CVE-2010-2419,9.0
IBM,,10.0
Microsoft,CVE-2010-3225,10.0
Microsoft,CVE-2010-1883,10.0
Microsoft,CVE-2010-3328,10.0
SAP,,10.0
SAP,,10.0
IBM,,10.0
Adobe,CVE-2010-3632,9.0
Adobe,CVE-2010-3622,10.0
Adobe,CVE-2010-3621,9.0
Novell,,10.0
Novell,,7.8
IBM,,7.8
IBM,,
IBM,,5.0
IBM,,10.0
IBM,,10.0
IBM,,10.0
IBM,,10.0
IBM,,10.0
IBM,,10.0
IBM,,10.0
Novell,,10.0
IBM,,10.0
Mozilla Firefox,CVE-2010-2766,10.0
Hewlett-Packard,CVE-2010-3008,7.8
Hewlett-Packard,CVE-2010-3007,10.0
Mozilla Firefox,CVE-2010-2760,9.0
Mozilla Firefox,CVE-2010-3168,9.0
Mozilla Firefox,CVE-2010-3167,9.0
Apple,CVE-2010-1806,9.0
Novell,,9.0
Apple,CVE-2010-1818,9.0
RealNetworks,CVE-2010-3000,10.0
RealNetworks,CVE-2010-2996,10.0
Trend Micro,,9.0
Adobe,CVE-2010-2876,9.0
Adobe,CVE-2010-2874,10.0
Adobe,CVE-2010-2873,10.0
Adobe,CVE-2010-2872,10.0
Adobe,CVE-2010-2871,10.0
"IBM, Autonomy",,10.0
"IBM, Autonomy",,10.0
"IBM, Autonomy",,10.0
"IBM, Autonomy",,10.0
Cisco,,10.0
Apple,CVE-2010-1392,10.0
Apple,CVE-2010-1787,10.0
Apple,CVE-2010-0049,10.0
Microsoft,CVE-2010-1903,10.0
Microsoft,CVE-2010-1900,10.0
Adobe,CVE-2010-2188,10.0
Microsoft,CVE-2010-2553,10.0
Microsoft,CVE-2010-1882,10.0
Apple,CVE-2010-0048,10.0
Novell,,9.0
Apple,CVE-2010-1784,10.0
Novell,,10.0
Apple,CVE-2010-1785,10.0
Apple,CVE-2010-1786,10.0
Novell,CVE-2010-4315,10.0
Novell,CVE-2010-4314,10.0
Novell,CVE-2010-4320,9.0
Hewlett-Packard,CVE-2010-2703,10.0
Novell,CVE-2010-2773,10.0
Novell,"CVE-2010-2778, CVE-2010-2779",4.3
Mozilla Firefox,CVE-2010-1208,10.0
Mozilla Firefox,CVE-2010-2752,10.0
Mozilla Firefox,CVE-2010-1214,10.0
Mozilla Firefox,CVE-2010-2753,10.0
Mozilla Firefox,CVE-2010-1209,10.0
Novell,CVE-2010-2777,9.0
Ipswitch,,10.0
Ipswitch,,9.0
Ipswitch,,10.0
IBM,,10.0
Oracle,CVE-2010-0907,9.0
Oracle,CVE-2010-0904,10.0
Oracle,CVE-2010-0906,10.0
Oracle,CVE-2010-0906,10.0
Oracle,CVE-2010-0906,9.0
Oracle,CVE-2010-0899,9.0
Oracle,CVE-2010-0904,9.7
Microsoft,CVE-2010-0814,10.0
Adobe,CVE-2010-2202,10.0
Adobe,CVE-2010-2160,10.0
Adobe,CVE-2010-2160,10.0
Mozilla Firefox,CVE-2010-1199,10.0
Novell,CVE-2010-0284,10.0
Adobe,CVE-2010-2188,10.0
Adobe,CVE-2010-2171,10.0
Adobe,CVE-2010-2162,10.0
Hewlett-Packard,CVE-2010-1964,10.0
Sourcefire,,7.7
Hewlett-Packard,CVE-2010-1961,10.0
Hewlett-Packard,CVE-2010-1960,10.0
Microsoft,CVE-2010-0821,10.0
Microsoft,CVE-2010-1253,10.0
Microsoft,CVE-2010-1262,10.0
Apple,CVE-2010-1749,10.0
Apple,CVE-2010-1402,10.0
Apple,CVE-2010-1403,10.0
Apple,CVE-2010-1401,10.0
Apple,CVE-2010-1398,10.0
Apple,CVE-2010-1404,10.0
Apple,CVE-2010-1397,10.0
Apple,CVE-2010-1399,10.0
Apple,CVE-2010-1770,10.0
Apple,CVE-2010-1396,10.0
Apple,CVE-2010-1119,10.0
Novell,,10.0
Adobe,CVE-2010-1292,10.0
Adobe,CVE-2010-1283,10.0
Adobe,CVE-2010-1281,10.0
Hewlett-Packard,CVE-2010-1555,10.0
Hewlett-Packard,CVE-2010-1554,10.0
Hewlett-Packard,CVE-2010-1553,10.0
Hewlett-Packard,CVE-2010-1552,10.0
Hewlett-Packard,CVE-2010-1551,10.0
Hewlett-Packard,CVE-2010-1550,10.0
Hewlett-Packard,CVE-2010-1549,10.0
RealNetworks,CVE-2010-1317,8.3
Novell,,10.0
Adobe,CVE-2010-1278,10.0
Apple,CVE-2010-1120,10.0
Sun Microsystems,CVE-2010-0897,7.8
Sun Microsystems,CVE-2010-0897,10.0
Sun Microsystems,CVE-2010-0897,7.8
Cisco,CVE-2010-0589,10.0
Adobe,CVE-2010-0195,10.0
Microsoft,CVE-2010-0268,10.0
Microsoft,CVE-2010-0479,10.0
Apple,CVE-2010-0062,10.0
Apple,CVE-2010-0529,10.0
CA,CVE-2010-1223,10.0
CA,CVE-2010-1223,10.0
Mozilla Firefox,CVE-2010-1028,10.0
Mozilla Firefox,CVE-2010-1121,10.0
Novell,CVE-2010-0625,10.0
Sun Microsystems,CVE-2010-0838,10.0
Sun Microsystems,CVE-2010-0842,10.0
Sun Microsystems,CVE-2010-0846,10.0
Apple,CVE-2010-0505,10.0
Sun Microsystems,CVE-2010-0849,10.0
Oracle,CVE-2010-0840,10.0
Sun Microsystems,CVE-2010-0095,10.0
Sun Microsystems,CVE-2010-0841,10.0
Sun Microsystems,CVE-2010-0844,10.0
Sun Microsystems,CVE-2010-0843,10.0
Sun Microsystems,CVE-2010-0094,10.0
Mozilla Firefox,CVE-2010-0175,10.0
Mozilla Firefox,CVE-2010-0177,10.0
Mozilla Firefox,CVE-2010-0176,10.0
Mozilla Firefox,CVE-2010-0164,10.0
Mozilla Firefox,CVE-2010-0160,10.0
Apple,CVE-2010-0526,10.0
Apple,CVE-2010-0520,10.0
Apple,CVE-2010-0519,10.0
Apple,CVE-2010-0528,10.0
Apple,CVE-2010-0059,10.0
Apple,CVE-2010-0516,10.0
Apple,CVE-2010-0497,10.0
Apple,CVE-2010-0060,10.0
Apple,CVE-2010-0517,10.0
Apple,CVE-2010-0062,10.0
Apple,CVE-2010-0526,10.0
Microsoft,CVE-2010-0805,10.0
Microsoft,CVE-2010-0492,10.0
SAP,CVE-2010-1185,10.0
Apple,CVE-2010-0050,10.0
"Google, Apple",CVE-2010-0053,10.0
"Google, Apple",CVE-2010-0047,10.0
Skype,,9.0
Skype,,8.5
Hewlett-Packard,CVE-2010-0447,10.0
Microsoft,CVE-2010-0263,10.0
Novell,CVE-2010-0666,8.5
"IBM, EMC",CVE-2009-2754,10.0
IBM,CVE-2009-2753,10.0
Novell,,10.0
EMC,CVE-2010-0620,10.0
Mozilla Firefox,CVE-2009-3988,9.4
IBM,,9.0
Microsoft,CVE-2010-0033,10.0
Microsoft,CVE-2010-0027,10.0
Microsoft,CVE-2010-0250,10.0
Microsoft,CVE-2010-0248,10.0
Microsoft,CVE-2010-0245,10.0
Microsoft,CVE-2010-0246,10.0
Microsoft,CVE-2010-0244,10.0
RealNetworks,CVE-2009-4246,10.0
RealNetworks,CVE-2009-0376,10.0
RealNetworks,CVE-2009-4244,10.0
RealNetworks,CVE-2009-4257,10.0
RealNetworks,CVE-2009-4242,10.0
RealNetworks,CVE-2009-4241,10.0
Cisco,CVE-2010-0138,10.0
Novell,,10.0
Oracle,CVE-2010-0072,10.0
Novell,CVE-2009-4486,10.0
Hewlett-Packard,CVE-2011-4168,5.0
Hewlett-Packard,CVE-2011-4167,9.0
Hewlett-Packard,CVE-2011-4166,9.0
WellinTech,CVE-2011-4536,10.0
Enterasys,,10.0
Adobe,CVE-2011-2127,8.3
Hewlett-Packard,CVE-2011-3165,10.0
Microsoft,CVE-2011-1983,9.0
Microsoft,CVE-2011-3413,7.5
Trend Micro,,9.7
RealNetworks,CVE-2011-4253,7.5
RealNetworks,CVE-2011-4260,7.5
Novell,CVE-2011-2653,9.7
Cisco,CVE-2011-3319,9.0
Apple,CVE-2011-3248,7.5
Iron Mountain,CVE-2011-2397,10.0
RealNetworks,CVE-2011-4258,7.5
RealNetworks,CVE-2011-4256,7.5
RealNetworks,CVE-2011-4255,7.5
RealNetworks,CVE-2011-4252,7.5
RealNetworks,CVE-2011-4251,7.5
RealNetworks,CVE-2011-4250,7.5
RealNetworks,CVE-2011-4248,7.5
RealNetworks,CVE-2011-4259,7.5
Indusoft,CVE-2011-4051,9.0
Indusoft,CVE-2011-4052,9.0
ProFTPD,,9.0
Hewlett-Packard,CVE-2011-3161,7.5
Hewlett-Packard,CVE-2011-3156,9.0
Hewlett-Packard,CVE-2011-3157,7.5
Hewlett-Packard,CVE-2011-3158,7.5
Hewlett-Packard,CVE-2011-3159,7.5
Hewlett-Packard,CVE-2011-3160,7.5
Hewlett-Packard,CVE-2011-3162,7.5
GE,CVE-2011-1918,10.0
Novell,CVE-2011-3174,9.0
Novell,CVE-2011-2657,7.5
Novell,CVE-2011-2658,9.0
Apple,CVE-2011-3251,7.5
Apple,CVE-2011-3249,9.0
Apple,CVE-2011-3247,7.5
Apple,CVE-2011-3223,9.0
Apple,CVE-2011-3221,7.5
Apple,CVE-2011-3220,9.0
Adobe,CVE-2011-2441,7.5
Novell,CVE-2011-3173,7.5
Cisco,CVE-2011-4004,9.0
Oracle,CVE-2011-3545,9.0
Oracle,CVE-2011-3521,9.0
Oracle,CVE-2011-3544,9.0
Apple,CVE-2011-3252,8.3
Apple,CVE-2011-3219,7.5
Adobe,CVE-2011-2432,7.5
Adobe,CVE-2011-2434,7.5
Adobe,CVE-2011-2433,7.5
